PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
NT,3,f,1911,1911,2,O,15,.,.,.,1
NT,3,f,1912,1912,2,O,10,.,.,.,1
NT,3,f,1913,1913,2,O,25,.,.,.,1
NT,3,f,1914,1914,2,O,27,.,.,.,1
NT,3,f,1915,1915,2,O,28,.,.,.,1
NT,3,f,1916,1916,2,O,30,.,.,.,1
NT,3,f,1917,1917,2,O,27,.,.,.,1
NT,3,f,1918,1918,2,O,46,.,.,.,1
NT,3,f,1919,1919,2,O,51,.,.,.,1
NT,3,f,1920,1920,2,O,32,.,.,.,1
NT,3,f,1921,1921,2,O,40,.,.,.,1
NT,3,f,1922,1922,2,O,32,.,.,.,1
NT,3,f,1923,1923,2,O,32,.,.,.,1
NT,3,f,1924,1924,2,O,28,.,.,.,1
NT,3,f,1925,1925,2,O,29,.,.,.,1
NT,3,f,1926,1926,2,O,33,.,.,.,1
NT,3,f,1927,1927,2,O,36,.,.,.,1
NT,3,f,1928,1928,2,O,45,.,.,.,1
NT,3,f,1929,1929,2,O,21,.,.,.,1
NT,3,f,1930,1930,2,O,30,.,.,.,1
NT,3,f,1931,1931,2,O,35,.,.,.,1
NT,3,f,1932,1932,2,O,40,.,.,.,1
NT,3,f,1933,1933,2,O,34,.,.,.,1
NT,3,f,1934,1934,2,O,51,.,.,.,1
NT,3,f,1935,1935,2,O,41,.,.,.,1
NT,3,f,1936,1936,2,O,48,.,.,.,1
NT,3,f,1937,1937,2,O,48,.,.,.,1
NT,3,f,1938,1938,2,O,48,.,.,.,1
NT,3,f,1939,1939,2,O,73,.,.,.,1
NT,3,f,1940,1940,2,O,69,.,.,.,1
NT,3,f,1941,1941,2,O,118,.,.,.,1
NT,3,f,1942,1942,2,O,42,.,.,.,1
NT,3,f,1943,1943,2,O,38,.,.,.,1
NT,3,f,1944,1944,2,O,45,.,.,.,1
NT,3,f,1945,1945,2,O,42,.,.,.,1
NT,3,f,1946,1946,2,O,66,.,.,.,1
NT,3,f,1947,1947,2,O,136,.,.,.,1
NT,3,f,1948,1948,2,O,147,.,.,.,1
NT,3,f,1949,1949,2,O,164,.,.,.,1
NT,3,f,1950,1950,2,O,207,.,.,.,1
NT,3,f,1951,1951,2,O,197,.,.,.,1
NT,3,f,1952,1952,2,O,227,.,.,.,1
NT,3,f,1953,1953,2,O,199,.,.,.,1
NT,3,f,1954,1954,2,O,245,.,.,.,1
NT,3,f,1955,1955,2,O,258,.,.,.,1
NT,3,f,1956,1956,2,O,272,.,.,.,1
NT,3,f,1957,1957,2,O,309,.,.,.,1
NT,3,f,1958,1958,2,O,350,.,.,.,1
NT,3,f,1959,1959,2,O,389,.,.,.,1
NT,3,f,1960,1960,2,O,361,.,.,.,1
NT,3,f,1961,1961,2,O,432,.,.,.,1
NT,3,f,1962,1962,2,O,429,.,.,.,1
NT,3,f,1963,1963,2,O,400,.,.,.,1
NT,3,f,1964,1964,2,O,435,.,.,.,1
