NT, Life tables (period 1x10), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.03581  0.03477  0.16  100000    3477   97090  6433330  64.33
1971-1979        1      0.00638  0.00636  0.50   96523     614   96216  6336240  65.65
1971-1979        2      0.00234  0.00234  0.50   95909     224   95797  6240024  65.06
1971-1979        3      0.00205  0.00205  0.50   95685     196   95586  6144228  64.21
1971-1979        4      0.00112  0.00112  0.50   95488     107   95435  6048641  63.34
1971-1979        5      0.00188  0.00188  0.50   95382     179   95292  5953206  62.41
1971-1979        6      0.00125  0.00125  0.50   95202     119   95143  5857914  61.53
1971-1979        7      0.00070  0.00070  0.50   95083      66   95050  5762771  60.61
1971-1979        8      0.00063  0.00063  0.50   95017      60   94987  5667721  59.65
1971-1979        9      0.00056  0.00056  0.50   94957      54   94930  5572735  58.69
1971-1979       10      0.00060  0.00060  0.50   94903      57   94875  5477804  57.72
1971-1979       11      0.00130  0.00130  0.50   94847     124   94785  5382929  56.75
1971-1979       12      0.00096  0.00096  0.50   94723      91   94678  5288144  55.83
1971-1979       13      0.00153  0.00153  0.50   94632     144   94560  5193467  54.88
1971-1979       14      0.00189  0.00189  0.50   94488     178   94399  5098906  53.96
1971-1979       15      0.00197  0.00196  0.50   94310     185   94217  5004508  53.06
1971-1979       16      0.00129  0.00129  0.50   94125     121   94064  4910291  52.17
1971-1979       17      0.00244  0.00243  0.50   94003     229   93889  4816227  51.23
1971-1979       18      0.00289  0.00289  0.50   93775     271   93639  4722338  50.36
1971-1979       19      0.00277  0.00276  0.50   93504     259   93375  4628698  49.50
1971-1979       20      0.00213  0.00213  0.50   93245     199   93146  4535324  48.64
1971-1979       21      0.00157  0.00157  0.50   93047     146   92974  4442177  47.74
1971-1979       22      0.00225  0.00225  0.50   92900     209   92796  4349204  46.82
1971-1979       23      0.00259  0.00258  0.50   92691     240   92572  4256408  45.92
1971-1979       24      0.00239  0.00239  0.50   92452     221   92342  4163836  45.04
1971-1979       25      0.00203  0.00203  0.50   92231     187   92138  4071495  44.14
1971-1979       26      0.00199  0.00198  0.50   92044     183   91953  3979357  43.23
1971-1979       27      0.00206  0.00206  0.50   91862     189   91767  3887404  42.32
1971-1979       28      0.00212  0.00211  0.50   91673     194   91576  3795637  41.40
1971-1979       29      0.00202  0.00202  0.50   91479     185   91387  3704061  40.49
1971-1979       30      0.00268  0.00267  0.50   91294     244   91172  3612674  39.57
1971-1979       31      0.00186  0.00186  0.50   91050     169   90965  3521502  38.68
1971-1979       32      0.00323  0.00322  0.50   90881     293   90734  3430537  37.75
1971-1979       33      0.00274  0.00274  0.50   90588     248   90464  3339802  36.87
1971-1979       34      0.00373  0.00372  0.50   90340     336   90172  3249339  35.97
1971-1979       35      0.00399  0.00398  0.50   90004     359   89825  3159167  35.10
1971-1979       36      0.00377  0.00376  0.50   89645     337   89477  3069342  34.24
1971-1979       37      0.00430  0.00430  0.50   89308     384   89116  2979866  33.37
1971-1979       38      0.00426  0.00426  0.50   88924     378   88735  2890749  32.51
1971-1979       39      0.00636  0.00634  0.50   88546     561   88265  2802014  31.64
1971-1979       40      0.00534  0.00532  0.50   87985     469   87751  2713749  30.84
1971-1979       41      0.00611  0.00609  0.50   87516     533   87250  2625998  30.01
1971-1979       42      0.00643  0.00641  0.50   86983     557   86704  2538748  29.19
1971-1979       43      0.00707  0.00704  0.50   86426     609   86121  2452044  28.37
1971-1979       44      0.00661  0.00659  0.50   85817     566   85534  2365923  27.57
1971-1979       45      0.00847  0.00844  0.50   85251     719   84892  2280389  26.75
1971-1979       46      0.01059  0.01053  0.50   84532     890   84087  2195497  25.97
1971-1979       47      0.01014  0.01009  0.50   83642     844   83220  2111410  25.24
1971-1979       48      0.00898  0.00894  0.50   82798     740   82428  2028190  24.50
1971-1979       49      0.01126  0.01120  0.50   82058     919   81599  1945762  23.71
1971-1979       50      0.01307  0.01298  0.50   81139    1054   80613  1864163  22.97
1971-1979       51      0.01036  0.01031  0.50   80086     825   79673  1783550  22.27
1971-1979       52      0.01475  0.01464  0.50   79260    1160   78680  1703877  21.50
1971-1979       53      0.01359  0.01350  0.50   78100    1054   77573  1625197  20.81
1971-1979       54      0.01859  0.01842  0.50   77046    1419   76337  1547624  20.09
1971-1979       55      0.01754  0.01739  0.50   75627    1315   74969  1471287  19.45
1971-1979       56      0.01809  0.01792  0.50   74312    1332   73646  1396318  18.79
1971-1979       57      0.02102  0.02080  0.50   72980    1518   72221  1322672  18.12
1971-1979       58      0.01744  0.01729  0.50   71462    1236   70844  1250450  17.50
1971-1979       59      0.01970  0.01951  0.50   70226    1370   69541  1179606  16.80
1971-1979       60      0.02730  0.02693  0.50   68857    1854   67929  1110065  16.12
1971-1979       61      0.02411  0.02382  0.50   67002    1596   66204  1042135  15.55
1971-1979       62      0.01905  0.01887  0.50   65406    1234   64789   975931  14.92
