NT, Exposure to risk (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1900-1904        0                    .               .               .
1900-1904        1                    .               .               .
1900-1904        2                    .               .               .
1900-1904        3                    .               .               .
1900-1904        4                    .               .               .
1900-1904        5                    .               .               .
1900-1904        6                    .               .               .
1900-1904        7                    .               .               .
1900-1904        8                    .               .               .
1900-1904        9                    .               .               .
1900-1904       10                    .               .               .
1900-1904       11                    .               .               .
1900-1904       12                    .               .               .
1900-1904       13                    .               .               .
1900-1904       14                    .               .               .
1900-1904       15                    .               .               .
1900-1904       16                    .               .               .
1900-1904       17                    .               .               .
1900-1904       18                    .               .               .
1900-1904       19                    .               .               .
1900-1904       20                    .               .               .
1900-1904       21                    .               .               .
1900-1904       22                    .               .               .
1900-1904       23                    .               .               .
1900-1904       24                    .               .               .
1900-1904       25                    .               .               .
1900-1904       26                    .               .               .
1900-1904       27                    .               .               .
1900-1904       28                    .               .               .
1900-1904       29                    .               .               .
1900-1904       30                    .               .               .
1900-1904       31                    .               .               .
1900-1904       32                    .               .               .
1900-1904       33                    .               .               .
1900-1904       34                    .               .               .
1900-1904       35                    .               .               .
1900-1904       36                    .               .               .
1900-1904       37                    .               .               .
1900-1904       38                    .               .               .
1900-1904       39                    .               .               .
1900-1904       40                    .               .               .
1900-1904       41                    .               .               .
1900-1904       42                    .               .               .
1900-1904       43                    .               .               .
1900-1904       44                    .               .               .
1900-1904       45                    .               .               .
1900-1904       46                    .               .               .
1900-1904       47                    .               .               .
1900-1904       48                    .               .               .
1900-1904       49                    .               .               .
1900-1904       50                    .               .               .
1900-1904       51                    .               .               .
1900-1904       52                    .               .               .
1900-1904       53                    .               .               .
1900-1904       54                    .               .               .
1900-1904       55                    .               .               .
1900-1904       56                    .               .               .
1900-1904       57                    .               .               .
1900-1904       58                    .               .               .
1900-1904       59                    .               .               .
1900-1904       60                    .               .               .
1900-1904       61                    .               .               .
1900-1904       62                    .               .               .
1900-1904       63                    .               .               .
1900-1904       64                    .               .               .
1900-1904       65                    .               .               .
1900-1904       66                    .               .               .
1900-1904       67                    .               .               .
1900-1904       68               128.30          190.15          318.45
1900-1904       69               153.95          241.62          395.57
1900-1904       70               179.09          259.04          438.14
1900-1904       71               216.77          320.23          537.00
1900-1904       72               201.07          289.68          490.74
1900-1904       73               186.60          260.20          446.80
1900-1904       74               169.89          235.10          404.99
1900-1904       75               164.35          222.40          386.75
1900-1904       76               146.72          206.71          353.43
1900-1904       77               138.58          186.95          325.53
1900-1904       78               138.09          177.61          315.70
1900-1904       79               140.45          167.97          308.42
1900-1904       80               208.39          177.07          385.46
1900-1904       81               195.94          155.05          351.00
1900-1904       82               185.56          139.70          325.26
1900-1904       83               175.52          129.01          304.54
1900-1904       84               164.31          118.31          282.61
1900-1904       85               150.06          109.09          259.15
1900-1904       86               134.49           97.69          232.18
1900-1904       87               121.79           86.98          208.77
1900-1904       88               110.43           80.49          190.92
1900-1904       89                99.44           71.17          170.61
1900-1904       90                89.74           60.33          150.07
1900-1904       91                79.07           50.97          130.03
1900-1904       92                65.58           43.98          109.56
1900-1904       93                54.27           37.94           92.20
1900-1904       94                46.95           29.31           76.26
1900-1904       95                40.09           20.26           60.35
1900-1904       96                32.43           13.75           46.17
1900-1904       97                23.40           10.27           33.67
1900-1904       98                15.56            6.76           22.32
1900-1904       99                 8.89            4.30           13.19
1900-1904      100                 3.98            2.68            6.66
1900-1904      101                 2.10            0.20            2.30
1900-1904      102                 0.58            0.00            0.58
1900-1904      103                 0.00            0.00            0.00
1900-1904      104                 0.00            0.00            0.00
1900-1904      105                 0.00            0.00            0.00
1900-1904      106                 0.00            0.00            0.00
1900-1904      107                 0.00            0.00            0.00
1900-1904      108                 0.00            0.00            0.00
1900-1904      109                 0.00            0.00            0.00
1900-1904      110+                0.00            0.00            0.00
1905-1909        0                    .               .               .
1905-1909        1                    .               .               .
1905-1909        2                    .               .               .
1905-1909        3                    .               .               .
1905-1909        4                    .               .               .
1905-1909        5                    .               .               .
1905-1909        6                    .               .               .
1905-1909        7                    .               .               .
1905-1909        8                    .               .               .
1905-1909        9                    .               .               .
1905-1909       10                    .               .               .
1905-1909       11                    .               .               .
1905-1909       12                    .               .               .
1905-1909       13                    .               .               .
1905-1909       14                    .               .               .
1905-1909       15                    .               .               .
1905-1909       16                    .               .               .
1905-1909       17                    .               .               .
1905-1909       18                    .               .               .
1905-1909       19                    .               .               .
1905-1909       20                    .               .               .
1905-1909       21                    .               .               .
1905-1909       22                    .               .               .
1905-1909       23                    .               .               .
1905-1909       24                    .               .               .
1905-1909       25                    .               .               .
1905-1909       26                    .               .               .
1905-1909       27                    .               .               .
1905-1909       28                    .               .               .
1905-1909       29                    .               .               .
1905-1909       30                    .               .               .
1905-1909       31                    .               .               .
