NT, Death rates (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1900-1904        0                    .               .               .
1900-1904        1                    .               .               .
1900-1904        2                    .               .               .
1900-1904        3                    .               .               .
1900-1904        4                    .               .               .
1900-1904        5                    .               .               .
1900-1904        6                    .               .               .
1900-1904        7                    .               .               .
1900-1904        8                    .               .               .
1900-1904        9                    .               .               .
1900-1904       10                    .               .               .
1900-1904       11                    .               .               .
1900-1904       12                    .               .               .
1900-1904       13                    .               .               .
1900-1904       14                    .               .               .
1900-1904       15                    .               .               .
1900-1904       16                    .               .               .
1900-1904       17                    .               .               .
1900-1904       18                    .               .               .
1900-1904       19                    .               .               .
1900-1904       20                    .               .               .
1900-1904       21                    .               .               .
1900-1904       22                    .               .               .
1900-1904       23                    .               .               .
1900-1904       24                    .               .               .
1900-1904       25                    .               .               .
1900-1904       26                    .               .               .
1900-1904       27                    .               .               .
1900-1904       28                    .               .               .
1900-1904       29                    .               .               .
1900-1904       30                    .               .               .
1900-1904       31                    .               .               .
1900-1904       32                    .               .               .
1900-1904       33                    .               .               .
1900-1904       34                    .               .               .
1900-1904       35                    .               .               .
1900-1904       36                    .               .               .
1900-1904       37                    .               .               .
1900-1904       38                    .               .               .
1900-1904       39                    .               .               .
1900-1904       40                    .               .               .
1900-1904       41                    .               .               .
1900-1904       42                    .               .               .
1900-1904       43                    .               .               .
1900-1904       44                    .               .               .
1900-1904       45                    .               .               .
1900-1904       46                    .               .               .
1900-1904       47                    .               .               .
1900-1904       48                    .               .               .
1900-1904       49                    .               .               .
1900-1904       50                    .               .               .
1900-1904       51                    .               .               .
1900-1904       52                    .               .               .
1900-1904       53                    .               .               .
1900-1904       54                    .               .               .
1900-1904       55                    .               .               .
1900-1904       56                    .               .               .
1900-1904       57                    .               .               .
1900-1904       58                    .               .               .
1900-1904       59                    .               .               .
1900-1904       60                    .               .               .
1900-1904       61                    .               .               .
1900-1904       62                    .               .               .
1900-1904       63                    .               .               .
1900-1904       64                    .               .               .
1900-1904       65                    .               .               .
1900-1904       66                    .               .               .
1900-1904       67                    .               .               .
1900-1904       68             0.051129        0.026453        0.036395
1900-1904       69             0.068595        0.035427        0.048335
1900-1904       70             0.073202        0.106662        0.092985
1900-1904       71             0.043826        0.059332        0.053073
1900-1904       72             0.076989        0.095658        0.088009
1900-1904       73             0.053376        0.108108        0.085250
1900-1904       74             0.112014        0.083157        0.095262
1900-1904       75             0.124853        0.092356        0.106166
1900-1904       76             0.112186        0.119152        0.116261
1900-1904       77             0.093376        0.085745        0.088993
1900-1904       78             0.112538        0.130170        0.122458
1900-1904       79             0.088998        0.083469        0.085987
1900-1904       80             0.084265        0.127179        0.103979
1900-1904       81             0.043839        0.138662        0.085727
1900-1904       82             0.062081        0.068074        0.064655
1900-1904       83             0.048654        0.097277        0.069253
1900-1904       84             0.082650        0.072016        0.078199
1900-1904       85             0.100295        0.091942        0.096779
1900-1904       86             0.119637        0.128570        0.123396
1900-1904       87             0.082188        0.098072        0.088806
1900-1904       88             0.113197        0.068083        0.094177
1900-1904       89             0.095532        0.175355        0.128829
1900-1904       90             0.100513        0.149188        0.120080
1900-1904       91             0.164165        0.186593        0.172956
1900-1904       92             0.213175        0.092094        0.164572
1900-1904       93             0.156265        0.236447        0.189256
1900-1904       94             0.127796        0.288639        0.189614
1900-1904       95             0.187313        0.423001        0.266431
1900-1904       96             0.245785        0.363725        0.280898
1900-1904       97             0.408120        0.194679        0.343001
1900-1904       98             0.417738        0.740010        0.515310
1900-1904       99             0.787697        0.000000        0.530839
1900-1904      100             0.637657        1.380597        0.936468
1900-1904      101             0.815580        3.000000        1.005806
1900-1904      102             2.000000              .        2.000000
1900-1904      103                   .              .              .
1900-1904      104                   .              .              .
1900-1904      105                   .              .              .
1900-1904      106                   .              .              .
1900-1904      107                   .              .              .
1900-1904      108                   .              .              .
1900-1904      109                   .              .              .
1900-1904      110+                  .              .              .
1905-1909        0                    .               .               .
1905-1909        1                    .               .               .
1905-1909        2                    .               .               .
1905-1909        3                    .               .               .
1905-1909        4                    .               .               .
1905-1909        5                    .               .               .
1905-1909        6                    .               .               .
1905-1909        7                    .               .               .
1905-1909        8                    .               .               .
1905-1909        9                    .               .               .
1905-1909       10                    .               .               .
1905-1909       11                    .               .               .
1905-1909       12                    .               .               .
1905-1909       13                    .               .               .
1905-1909       14                    .               .               .
1905-1909       15                    .               .               .
1905-1909       16                    .               .               .
1905-1909       17                    .               .               .
1905-1909       18                    .               .               .
1905-1909       19                    .               .               .
1905-1909       20                    .               .               .
1905-1909       21                    .               .               .
1905-1909       22                    .               .               .
1905-1909       23                    .               .               .
1905-1909       24                    .               .               .
1905-1909       25                    .               .               .
1905-1909       26                    .               .               .
1905-1909       27                    .               .               .
1905-1909       28                    .               .               .
