NT, Life tables (period 5x1), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.06718  0.06394  0.25  100000    6394   95187  6083734  60.84
  1971         1-4      0.00355  0.01405  0.78   93606    1315  370194  5988547  63.98
  1971         5-9      0.00094  0.00468  2.25   92290     432  460267  5618353  60.88
  1971        10-14     0.00169  0.00843  3.69   91859     774  458276  5158086  56.15
  1971        15-19     0.00476  0.02344  1.88   91084    2135  448762  4699810  51.60
  1971        20-24     0.00251  0.01250  2.70   88949    1112  442184  4251048  47.79
  1971        25-29     0.00255  0.01266  2.21   87838    1112  436088  3808864  43.36
  1971        30-34     0.00194  0.00968  2.77   86725     839  431751  3372776  38.89
  1971        35-39     0.00363  0.01802  2.83   85886    1548  426077  2941025  34.24
  1971        40-44     0.00293  0.01454  2.14   84338    1226  418186  2514948  29.82
  1971        45-49     0.01031  0.05017  2.33   83112    4170  404413  2096762  25.23
  1971        50-54     0.01735  0.08373  2.93   78942    6610  381038  1692349  21.44
  1971        55-59     0.01243  0.06020  2.38   72332    4355  350244  1311311  18.13
  1971        60-64     0.02292  0.10922  2.86   67978    7424  323976   961067  14.14
  1971        65-69     0.04693  0.20459  1.87   60553   12388  263956   637091  10.52
  1971        70-74     0.09459  0.40166  3.12   48165   19346  204515   373135   7.75
  1971        75-79     0.18714  0.60109  2.03   28819   17323   92567   168620   5.85
  1971        80-84     0.11349  0.44001  2.45   11496    5058   44573    76053   6.62
  1971        85-89     0.17307  0.59070  2.31    6438    3803   21973    31480   4.89
  1971        90-94     0.25408  0.73492  2.13    2635    1936    7621     9507   3.61
  1971        95-99     0.35587  0.84794  1.91     698     592    1664     1885   2.70
  1971       100-104    0.47239  0.92017  1.68     106      98     207      221   2.08
  1971       105-109    0.59254  0.95911  1.47       8       8      14       14   1.68
  1971       110+       0.68729  1.00000  1.45       0       0       1        1   1.45
  1972           0      0.04664  0.04492  0.18  100000    4492   96318  6411254  64.11
  1972         1-4      0.00277  0.01100  1.34   95508    1051  379231  6314936  66.12
  1972         5-9      0.00123  0.00613  2.03   94457     579  470564  5935705  62.84
  1972        10-14     0.00084  0.00420  1.50   93878     394  468012  5465141  58.22
  1972        15-19     0.00412  0.02038  2.61   93484    1906  462871  4997129  53.45
  1972        20-24     0.00333  0.01648  2.17   91579    1509  453623  4534258  49.51
  1972        25-29     0.00102  0.00510  2.13   90069     460  449024  4080635  45.31
  1972        30-34     0.00207  0.01029  3.24   89609     922  446421  3631611  40.53
  1972        35-39     0.00385  0.01910  2.82   88687    1694  439737  3185189  35.91
  1972        40-44     0.00626  0.03072  2.00   86993    2672  426942  2745453  31.56
  1972        45-49     0.01232  0.05943  2.04   84321    5011  406756  2318510  27.50
  1972        50-54     0.01113  0.05440  2.92   79310    4315  387592  1911754  24.10
  1972        55-59     0.01518  0.07325  2.61   74995    5494  361858  1524163  20.32
  1972        60-64     0.02254  0.10732  2.77   69501    7459  330839  1162305  16.72
  1972        65-69     0.02106  0.09886  1.92   62043    6134  291306   831466  13.40
  1972        70-74     0.09728  0.37934  2.10   55909   21208  218018   540160   9.66
  1972        75-79     0.12949  0.49248  2.57   34700   17089  131970   322142   9.28
  1972        80-84     0.09193  0.36875  2.32   17611    6494   70641   190172  10.80
  1972        85-89     0.09236  0.37011  2.32   11117    4115   44548   119531  10.75
  1972        90-94     0.09279  0.37148  2.32    7002    2601   28032    74983  10.71
  1972        95-99     0.09323  0.37284  2.32    4401    1641   17601    46951  10.67
  1972       100-104    0.09366  0.37421  2.32    2760    1033   11028    29349  10.63
  1972       105-109    0.09410  0.37559  2.31    1727     649    6894    18322  10.61
  1972       110+       0.09438  1.00000 10.60    1079    1079   11427    11427  10.60
  1973           0      0.04061  0.03927  0.16  100000    3927   96704  6366658  63.67
  1973         1-4      0.00295  0.01168  0.86   96073    1122  380768  6269954  65.26
  1973         5-9      0.00096  0.00477  1.03   94951     453  472956  5889186  62.02
  1973        10-14     0.00091  0.00455  3.50   94498     430  471845  5416231  57.32
  1973        15-19     0.00283  0.01406  2.62   94068    1323  467189  4944385  52.56
  1973        20-24     0.00300  0.01489  2.41   92745    1381  460144  4477197  48.27
  1973        25-29     0.00244  0.01214  2.73   91364    1109  454309  4017052  43.97
  1973        30-34     0.00424  0.02099  2.46   90256    1895  446468  3562744  39.47
  1973        35-39     0.00330  0.01640  3.47   88361    1449  439589  3116276  35.27
  1973        40-44     0.00594  0.02925  2.26   86911    2542  427591  2676687  30.80
  1973        45-49     0.00893  0.04335  1.64   84369    3657  409564  2249096  26.66
  1973        50-54     0.01936  0.09203  2.33   80712    7428  383720  1839532  22.79
  1973        55-59     0.02377  0.11276  2.73   73285    8264  347702  1455812  19.87
  1973        60-64     0.01891  0.09028  2.50   65021    5870  310455  1108110  17.04
  1973        65-69     0.02966  0.13738  2.32   59151    8126  273995   797655  13.49
