QLD, Deaths (period 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0              1161.04         1543.10         2704.14
1971-1974      1-4               266.00          335.04          601.04
1971-1974      5-9               124.00          161.02          285.02
1971-1974     10-14               91.00          196.00          287.00
1971-1974     15-19              247.02          685.05          932.07
1971-1974     20-24              225.02          700.05          925.07
1971-1974     25-29              196.01          468.03          664.04
1971-1974     30-34              222.01          429.04          651.05
1971-1974     35-39              292.00          567.03          859.03
1971-1974     40-44              499.01          869.07         1368.08
1971-1974     45-49              890.03         1436.10         2326.13
1971-1974     50-54             1130.04         2178.18         3308.22
1971-1974     55-59             1558.07         2991.22         4549.29
1971-1974     60-64             1989.07         4151.32         6140.39
1971-1974     65-69             2456.09         4664.35         7120.44
1971-1974     70-74             3316.13         5116.41         8432.54
1971-1974     75-79             4199.14         4661.33         8860.47
1971-1974     80-84             4548.17         4012.32         8560.49
1971-1974     85-89             3351.10         2399.20         5750.30
1971-1974     90-94             1477.06          793.07         2270.13
1971-1974     95-99              391.00          144.00          535.00
1971-1974    100-104              62.76           19.01           81.77
1971-1974    105-109               1.26            0.00            1.26
1971-1974    110+                  0.00            0.00            0.00
1975-1979        0              1029.05         1327.03         2356.08
1975-1979      1-4               254.01          317.02          571.03
1975-1979      5-9               152.00          184.01          336.01
1975-1979     10-14              126.00          200.00          326.00
1975-1979     15-19              277.01          857.03         1134.04
1975-1979     20-24              251.02          896.02         1147.04
1975-1979     25-29              216.02          668.00          884.02
1975-1979     30-34              285.04          636.01          921.05
1975-1979     35-39              402.01          695.03         1097.04
1975-1979     40-44              540.04         1034.03         1574.07
1975-1979     45-49              900.04         1702.02         2602.06
1975-1979     50-54             1365.08         2643.05         4008.13
1975-1979     55-59             1838.10         3682.09         5520.19
1975-1979     60-64             2598.15         4954.11         7552.26
1975-1979     65-69             3128.18         6238.14         9366.32
1975-1979     70-74             3802.21         6380.12        10182.33
1975-1979     75-79             4993.28         6075.12        11068.40
1975-1979     80-84             5616.31         4596.08        10212.39
1975-1979     85-89             4438.25         3086.08         7524.33
1975-1979     90-94             2159.13         1182.04         3341.17
1975-1979     95-99              602.04          242.01          844.05
1975-1979    100-104              75.22           18.00           93.22
1975-1979    105-109               0.79            0.00            0.79
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0               867.02         1127.03         1994.05
1980-1984      1-4               203.00          263.00          466.00
1980-1984      5-9                90.01          160.01          250.02
1980-1984     10-14              120.01          203.00          323.01
1980-1984     15-19              209.00          737.02          946.02
1980-1984     20-24              275.01          894.01         1169.02
1980-1984     25-29              262.00          699.03          961.03
1980-1984     30-34              303.01          695.03          998.04
