QLD,  Deaths (Lexis triangle)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      286.20      351.90      638.10
 1971    0      1970       51.80       68.10      119.90
 1971    1      1970       14.80       12.60       27.40
 1971    1      1969       12.20       10.40       22.60
 1971    2      1969        8.55       11.23       19.78
 1971    2      1968        7.45        9.77       17.22
 1971    3      1968       10.15        6.85       17.00
 1971    3      1967        8.85        6.15       15.00
 1971    4      1967        1.08        8.04        9.12
 1971    4      1966        0.92        6.96        7.88
 1971    5      1966        1.54        3.10        4.64
 1971    5      1965        1.46        2.90        4.36
 1971    6      1965        4.59        6.68       11.27
 1971    6      1964        4.41        6.32       10.73
 1971    7      1964        1.53        6.73        8.26
 1971    7      1963        1.47        6.27        7.74
 1971    8      1963        1.04        3.64        4.68
 1971    8      1962        0.96        3.36        4.32
 1971    9      1962        0.51        3.61        4.12
 1971    9      1961        0.49        3.39        3.88
 1971   10      1961        1.53        3.61        5.14
 1971   10      1960        1.47        3.39        4.86
 1971   11      1960        1.50        4.57        6.07
 1971   11      1959        1.50        4.43        5.93
 1971   12      1959        1.54        3.62        5.16
 1971   12      1958        1.46        3.38        4.84
 1971   13      1958        1.51        5.10        6.61
 1971   13      1957        1.49        4.90        6.39
 1971   14      1957        1.53       10.31       11.84
 1971   14      1956        1.47        9.69       11.16
 1971   15      1956        5.54        7.50       13.04
 1971   15      1955        5.46        7.50       12.96
 1971   16      1955        7.10       16.29       23.39
 1971   16      1954        6.90       15.71       22.61
 1971   17      1954        5.07       14.02       19.09
 1971   17      1953        4.93       13.98       18.91
 1971   18      1953        7.52       16.48       24.00
 1971   18      1952        7.48       16.52       24.00
 1971   19      1952        5.61       26.94       32.55
 1971   19      1951        5.39       26.06       31.45
 1971   20      1951        7.71       22.58       30.29
 1971   20      1950        7.29       20.42       27.71
 1971   21      1950        8.82       16.93       25.75
 1971   21      1949        8.18       15.07       23.25
 1971   22      1949        3.06       17.67       20.73
 1971   22      1948        2.94       16.33       19.27
 1971   23      1948        4.56       11.93       16.49
 1971   23      1947        4.44       11.07       15.51
 1971   24      1947        8.30       15.90       24.20
 1971   24      1946        7.70       14.10       21.80
 1971   25      1946        4.62       13.73       18.35
 1971   25      1945        4.38       12.27       16.65
 1971   26      1945        6.32        8.66       14.98
 1971   26      1944        5.68        7.34       13.02
 1971   27      1944        3.64       13.42       17.06
 1971   27      1943        3.36       11.58       14.94
 1971   28      1943        6.37       13.50       19.87
 1971   28      1942        5.63       11.50       17.13
 1971   29      1942        8.65        9.41       18.06
 1971   29      1941        8.35        8.59       16.94
 1971   30      1941        4.17       12.73       16.90
 1971   30      1940        3.83       11.27       15.10
 1971   31      1940        6.13       12.56       18.69
 1971   31      1939        5.87       11.44       17.31
 1971   32      1939        6.34       11.12       17.46
 1971   32      1938        5.66        9.88       15.54
 1971   33      1938        5.09        9.90       14.99
 1971   33      1937        4.91        9.10       14.01
 1971   34      1937        9.30        9.44       18.74
 1971   34      1936        8.70        8.56       17.26
 1971   35      1936        7.27       13.57       20.84
 1971   35      1935        6.73       12.43       19.16
 1971   36      1935        5.62       10.83       16.45
 1971   36      1934        5.38       10.17       15.55
 1971   37      1934        6.66       14.34       21.00
 1971   37      1933        6.34       13.66       20.00
 1971   38      1933        7.10       12.21       19.31
 1971   38      1932        6.90       11.79       18.69
 1971   39      1932        8.58       19.75       28.33
 1971   39      1931        8.42       19.25       27.67
 1971   40      1931       12.45       15.87       28.32
 1971   40      1930       12.55       16.13       28.68
 1971   41      1930       15.40       18.38       33.78
 1971   41      1929       14.60       17.62       32.22
 1971   42      1929       12.45       21.21       33.66
 1971   42      1928       12.55       21.79       34.34
 1971   43      1928       14.73       27.35       42.08
 1971   43      1927       14.27       26.65       40.92
 1971   44      1927       14.26       30.94       45.20
 1971   44      1926       13.74       30.06       43.80
 1971   45      1926       20.62       25.49       46.11
 1971   45      1925       20.38       25.51       45.89
 1971   46      1925       20.08       32.99       53.07
 1971   46      1924       18.92       32.01       50.93
 1971   47      1924       19.23       28.56       47.79
 1971   47      1923       18.77       28.44       47.21
 1971   48      1923       27.59       38.60       66.19
 1971   48      1922       26.41       38.40       64.81
 1971   49      1922       19.37       40.73       60.10
 1971   49      1921       18.63       41.27       59.90
 1971   50      1921       26.89       43.93       70.82
 1971   50      1920       26.11       43.07       69.18
 1971   51      1920       26.15       53.76       79.91
 1971   51      1919       23.85       50.24       74.09
 1971   52      1919       31.86       52.73       84.59
 1971   52      1918       32.14       53.27       85.41
 1971   53      1918       21.11       45.33       66.44
 1971   53      1917       20.89       44.67       65.56
 1971   54      1917       39.32       58.66       97.98
 1971   54      1916       36.68       56.34       93.02
 1971   55      1916       29.87       75.00      104.87
 1971   55      1915       30.13       78.00      108.13
 1971   56      1915       43.54       66.69      110.23
 1971   56      1914       42.46       64.31      106.77
 1971   57      1914       35.08       69.18      104.26
 1971   57      1913       33.92       67.82      101.74
 1971   58      1913       39.84       80.37      120.21
 1971   58      1912       37.16       76.63      113.79
 1971   59      1912       45.74       88.97      134.71
 1971   59      1911       41.26       82.03      123.29
 1971   60      1911       52.29       83.85      136.14
 1971   60      1910       51.71       83.15      134.86
 1971   61      1910       52.79       92.89      145.68
 1971   61      1909       52.21       92.11      144.32
 1971   62      1909       47.77      100.92      148.69
 1971   62      1908       47.23      100.08      147.31
 1971   63      1908       43.74       97.41      141.15
 1971   63      1907       43.26       96.59      139.85
 1971   64      1907       44.25      114.98      159.23
 1971   64      1906       43.75      114.02      157.77
 1971   65      1906       51.37      109.98      161.35
 1971   65      1905       51.63      110.02      161.65
 1971   66      1905       46.38      107.48      153.86
 1971   66      1904       46.62      107.52      154.14
 1971   67      1904       60.34      104.98      165.32
 1971   67      1903       60.66      105.02      165.68
 1971   68      1903       59.35      101.48      160.83
 1971   68      1902       59.65      101.52      161.17
 1971   69      1902       68.82      111.98      180.80
 1971   69      1901       69.18      112.02      181.20
 1971   70      1901       64.00      122.01      186.01
 1971   70      1900       65.00      122.99      187.99
 1971   71      1900       81.36      124.50      205.86
 1971   71      1899       82.64      125.50      208.14
 1971   72      1899       70.94      114.54      185.48
 1971   72      1898       72.06      115.46      187.52
 1971   73      1898       86.82      121.51      208.33
 1971   73      1897       88.18      122.49      210.67
 1971   74      1897       79.87      114.04      193.91
 1971   74      1896       81.13      114.96      196.09
 1971   75      1896       97.66      118.92      216.58
 1971   75      1895      100.34      121.08      221.42
 1971   76      1895       91.24      108.52      199.76
 1971   76      1894       93.76      110.48      204.24
 1971   77      1894       96.18      125.86      222.04
 1971   77      1893       98.82      128.14      226.96
 1971   78      1893      110.48      110.99      221.47
 1971   78      1892      113.52      113.01      226.53
 1971   79      1892      110.97      104.55      215.52
 1971   79      1891      114.03      106.45      220.48
 1971   80      1891      102.07      111.15      213.22
 1971   80      1890      104.93      112.85      217.78
 1971   81      1890      106.51      102.71      209.22
 1971   81      1889      109.49      104.29      213.78
 1971   82      1889      107.99      111.15      219.14
 1971   82      1888      111.01      112.85      223.86
 1971   83      1888       98.62       91.80      190.42
 1971   83      1887      101.38       93.20      194.58
 1971   84      1887       98.13       88.82      186.95
 1971   84      1886      100.87       90.18      191.05
 1971   85      1886      109.95       67.24      177.19
 1971   85      1885      111.05       66.76      177.81
 1971   86      1885       81.09       63.73      144.82
 1971   86      1884       81.91       63.27      145.18
 1971   87      1884       77.11       54.19      131.30
 1971   87      1883       77.89       53.81      131.70
 1971   88      1883       62.69       46.17      108.86
 1971   88      1882       63.31       45.83      109.14
 1971   89      1882       65.67       42.65      108.32
 1971   89      1881       66.33       42.35      108.68
 1971   90      1881       50.00       29.04       79.04
 1971   90      1880       49.00       27.96       76.96
 1971   91      1880       37.88       24.46       62.34
 1971   91      1879       37.12       23.54       60.66
 1971   92      1879       34.34       15.79       50.13
 1971   92      1878       33.66       15.21       48.87
 1971   93      1878       32.32       14.78       47.10
 1971   93      1877       31.68       14.22       45.90
 1971   94      1877       25.76        9.17       34.93
 1971   94      1876       25.24        8.83       34.07
