QLD, Life expectancy at birth (period, 1x5)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     75.08    68.04    71.35
1975-1979     77.05    69.78    73.23
1980-1984     78.83    71.70    75.12
1985-1989     79.51    73.01    76.16
1990-1994     80.71    74.62    77.61
1995-1999     81.56    75.77    78.62
2000-2004     82.67    77.45    80.04
2005-2009     83.57    78.83    81.19
2010-2014     84.21    79.86    82.02
2015-2019     84.84    80.59    82.70
