QLD, Exposure to risk (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0            160780.21       168572.19       329352.39
1971-1979        1            164030.70       171022.31       335053.01
1971-1979        2            167498.08       174294.82       341792.90
1971-1979        3            170349.59       177144.75       347494.34
1971-1979        4            172105.15       179178.12       351283.27
1971-1979        5            173062.22       180805.47       353867.69
1971-1979        6            173230.82       181070.71       354301.53
1971-1979        7            172771.82       180857.12       353628.94
1971-1979        8            172115.97       180728.49       352844.46
1971-1979        9            171307.39       179961.20       351268.58
1971-1979       10            171019.36       179565.40       350584.76
1971-1979       11            171360.10       179895.58       351255.67
1971-1979       12            171746.59       180411.33       352157.92
1971-1979       13            172293.04       180633.33       352926.37
1971-1979       14            172688.35       180345.43       353033.78
1971-1979       15            172143.75       179288.44       351432.20
1971-1979       16            170321.14       176990.65       347311.79
1971-1979       17            167515.09       173442.39       340957.48
1971-1979       18            164080.57       169447.87       333528.44
1971-1979       19            160698.81       165968.33       326667.15
1971-1979       20            157619.51       163425.20       321044.71
1971-1979       21            154404.76       160902.86       315307.62
1971-1979       22            151647.11       159183.76       310830.87
1971-1979       23            149483.40       157760.50       307243.90
1971-1979       24            147597.21       156127.93       303725.13
1971-1979       25            147543.95       155125.16       302669.11
1971-1979       26            145572.58       153083.20       298655.78
1971-1979       27            143536.23       150941.08       294477.31
1971-1979       28            140943.25       148115.47       289058.71
1971-1979       29            137234.16       144215.82       281449.99
1971-1979       30            133152.35       140114.38       273266.72
1971-1979       31            128798.68       135981.55       264780.23
1971-1979       32            124148.25       130891.35       255039.59
1971-1979       33            118944.76       124983.66       243928.41
1971-1979       34            114038.49       119775.75       233814.24
1971-1979       35            110593.07       116016.53       226609.60
1971-1979       36            107288.39       112800.75       220089.14
1971-1979       37            104600.92       109964.57       214565.49
1971-1979       38            102001.45       107547.24       209548.69
1971-1979       39             99791.37       105291.77       205083.14
1971-1979       40             97775.92       103236.50       201012.42
1971-1979       41             96784.88       102185.27       198970.15
1971-1979       42             95509.39       101024.08       196533.46
1971-1979       43             94988.48       100420.41       195408.89
1971-1979       44             94908.72       100216.27       195124.98
1971-1979       45             94780.63       100227.76       195008.39
1971-1979       46             95739.73       101443.95       197183.68
1971-1979       47             96636.19       102005.65       198641.83
1971-1979       48             97090.76       102266.47       199357.23
1971-1979       49             97483.80       102341.05       199824.85
1971-1979       50             96886.14       101806.47       198692.61
1971-1979       51             96821.71       101135.66       197957.37
1971-1979       52             95332.36        99006.08       194338.45
1971-1979       53             93749.71        96406.51       190156.21
1971-1979       54             92125.98        93780.41       185906.39
1971-1979       55             90561.16        91360.46       181921.62
1971-1979       56             89394.92        88922.99       178317.91
1971-1979       57             88140.91        86683.38       174824.28
1971-1979       58             86708.50        84250.76       170959.26
1971-1979       59             84769.50        81558.36       166327.85
1971-1979       60             82433.03        78862.23       161295.26
1971-1979       61             81354.26        76963.95       158318.21
1971-1979       62             79438.15        74922.69       154360.84
1971-1979       63             77084.55        72544.12       149628.67
1971-1979       64             74248.63        70184.97       144433.60
1971-1979       65             71210.00        67123.10       138333.09
1971-1979       66             67899.39        63832.27       131731.66
1971-1979       67             64536.57        60185.14       124721.71
1971-1979       68             61312.17        56594.68       117906.84
1971-1979       69             58156.68        52887.58       111044.26
1971-1979       70             55019.58        49107.59       104127.16
1971-1979       71             52502.54        45689.89        98192.43
1971-1979       72             50041.65        42354.98        92396.63
1971-1979       73             47222.02        38576.44        85798.46
1971-1979       74             44532.62        34993.67        79526.29
1971-1979       75             41672.54        31616.33        73288.88
1971-1979       76             39036.20        28402.04        67438.24
1971-1979       77             36519.64        25383.60        61903.24
1971-1979       78             33852.75        22594.20        56446.95
1971-1979       79             30981.69        19948.62        50930.31
1971-1979       80             28514.02        17410.33        45924.35
1971-1979       81             25830.27        15379.91        41210.19
