PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
QLD,4,f,1911,1911,2,O,8281,.,.,.,1
QLD,4,f,1912,1912,2,O,9162,.,.,.,1
QLD,4,f,1913,1913,2,O,9690,.,.,.,1
QLD,4,f,1914,1914,2,O,9762,.,.,.,1
QLD,4,f,1915,1915,2,O,9719,.,.,.,1
QLD,4,f,1916,1916,2,O,9239,.,.,.,1
QLD,4,f,1917,1917,2,O,9729,.,.,.,1
QLD,4,f,1918,1918,2,O,9456,.,.,.,1
QLD,4,f,1919,1919,2,O,8953,.,.,.,1
QLD,4,f,1920,1920,2,O,9719,.,.,.,1
QLD,4,f,1921,1921,2,O,9691,.,.,.,1
QLD,4,f,1922,1922,2,O,9724,.,.,.,1
QLD,4,f,1923,1923,2,O,9819,.,.,.,1
QLD,4,f,1924,1924,2,O,9658,.,.,.,1
QLD,4,f,1925,1925,2,O,9967,.,.,.,1
QLD,4,f,1926,1926,2,O,9632,.,.,.,1
QLD,4,f,1927,1927,2,O,9636,.,.,.,1
QLD,4,f,1928,1928,2,O,9569,.,.,.,1
QLD,4,f,1929,1929,2,O,9002,.,.,.,1
QLD,4,f,1930,1930,2,O,9206,.,.,.,1
QLD,4,f,1931,1931,2,O,8658,.,.,.,1
QLD,4,f,1932,1932,2,O,8447,.,.,.,1
QLD,4,f,1933,1933,2,O,8363,.,.,.,1
QLD,4,f,1934,1934,2,O,8529,.,.,.,1
QLD,4,f,1935,1935,2,O,8623,.,.,.,1
QLD,4,f,1936,1936,2,O,9124,.,.,.,1
QLD,4,f,1937,1937,2,O,9340,.,.,.,1
QLD,4,f,1938,1938,2,O,9163,.,.,.,1
QLD,4,f,1939,1939,2,O,10008,.,.,.,1
QLD,4,f,1940,1940,2,O,9929,.,.,.,1
QLD,4,f,1941,1941,2,O,10441,.,.,.,1
QLD,4,f,1942,1942,2,O,10288,.,.,.,1
QLD,4,f,1943,1943,2,O,11434,.,.,.,1
QLD,4,f,1944,1944,2,O,11962,.,.,.,1
QLD,4,f,1945,1945,2,O,12994,.,.,.,1
QLD,4,f,1946,1946,2,O,13136,.,.,.,1
QLD,4,f,1947,1947,2,O,13760,.,.,.,1
QLD,4,f,1948,1948,2,O,13476,.,.,.,1
QLD,4,f,1949,1949,2,O,13507,.,.,.,1
QLD,4,f,1950,1950,2,O,14148,.,.,.,1
QLD,4,f,1951,1951,2,O,14445,.,.,.,1
QLD,4,f,1952,1952,2,O,15038,.,.,.,1
QLD,4,f,1953,1953,2,O,14940,.,.,.,1
QLD,4,f,1954,1954,2,O,15296,.,.,.,1
QLD,4,f,1955,1955,2,O,15651,.,.,.,1
QLD,4,f,1956,1956,2,O,15707,.,.,.,1
QLD,4,f,1957,1957,2,O,16434,.,.,.,1
QLD,4,f,1958,1958,2,O,16429,.,.,.,1
QLD,4,f,1959,1959,2,O,17304,.,.,.,1
QLD,4,f,1960,1960,2,O,17049,.,.,.,1
QLD,4,f,1961,1961,2,O,17774,.,.,.,1
QLD,4,f,1962,1962,2,O,17336,.,.,.,1
QLD,4,f,1963,1963,2,O,17618,.,.,.,1
QLD,4,f,1964,1964,2,O,16982,.,.,.,1
QLD,4,f,1965,1965,2,O,16301,.,.,.,1
QLD,4,f,1966,1966,2,O,16028,.,.,.,1
QLD,4,f,1967,1967,2,O,16838,.,.,.,1
QLD,4,f,1968,1968,2,O,17314,.,.,.,1
QLD,4,f,1969,1969,2,O,17835,.,.,.,1
QLD,4,f,1970,1970,2,O,18206,.,.,.,1
QLD,4,f,1971,1971,2,O,19605,.,.,.,1
QLD,4,f,1972,1972,2,O,19013,.,.,.,1
QLD,4,f,1973,1973,2,O,18270,.,.,.,1
QLD,4,f,1974,1974,2,O,18207,.,.,.,1
QLD,4,f,1975,1975,2,O,17713,.,.,.,1
QLD,4,f,1976,1976,2,O,17264,.,.,.,1
QLD,4,f,1977,1977,2,O,16942,.,.,.,1
QLD,4,f,1978,1978,2,O,16726,.,.,.,1
QLD,4,f,1979,1979,2,O,17070,.,.,.,1
QLD,4,f,1980,1980,2,O,16924,.,.,.,1
QLD,4,f,1981,1981,2,O,18799,.,.,.,1
QLD,4,f,1982,1982,2,O,19642,.,.,.,1
QLD,4,f,1983,1983,2,O,20352,.,.,.,1
QLD,4,f,1984,1984,2,O,19606,.,.,.,1
QLD,4,f,1985,1985,2,O,19594,.,.,.,1
QLD,4,f,1986,1986,2,O,19589,.,.,.,1
QLD,4,f,1987,1987,2,O,19072,.,.,.,1
QLD,4,f,1988,1988,2,O,19741,.,.,.,1
QLD,4,f,1989,1989,2,O,20643,.,.,.,1
QLD,4,f,1990,1990,2,O,21786,.,.,.,1
QLD,4,f,1991,1991,2,O,21596,.,.,.,1
QLD,4,f,1992,1992,2,O,22640,.,.,.,1
QLD,4,f,1993,1993,2,O,22723,.,.,.,1
QLD,4,f,1994,1994,2,O,22430,.,.,.,1
QLD,4,f,1995,1995,2,O,22621,.,.,.,1
QLD,4,f,1996,1996,2,O,23236,.,.,.,1
QLD,4,f,1997,1997,2,O,22941,.,.,.,1
QLD,4,f,1998,1998,2,O,23004,.,.,.,1
QLD,4,f,1999,1999,2,O,22584,.,.,.,1
QLD,4,f,2000,2000,2,O,22987,.,.,.,1
QLD,4,f,2001,2001,2,O,23301,.,.,.,1
QLD,4,f,2002,2002,2,O,23317,.,.,.,1
QLD,4,f,2003,2003,2,O,23495,.,.,.,1
QLD,4,f,2004,2004,2,O,24354,.,.,.,1
QLD,4,f,2005,2005,2,O,24979,.,.,.,1
QLD,4,f,2006,2006,2,O,25553,.,.,.,1
QLD,4,f,2007,2007,2,O,29614,.,.,.,1
QLD,4,f,2008,2008,2,O,30559,.,.,.,1
QLD,4,f,2009,2009,2,O,32063,.,.,.,1
QLD,4,f,2010,2010,2,O,31492,.,.,.,1
QLD,4,f,2011,2011,2,O,31016,.,.,.,1
QLD,4,f,2012,2012,2,O,30961,.,.,.,1
QLD,4,f,2013,2013,2,O,30595,.,.,.,1
QLD,4,f,2014,2014,2,O,30774,.,.,.,1
QLD,4,f,2015,2015,2,O,29895,.,.,.,1
QLD,4,f,2016,2016,2,O,30346,.,.,.,1
QLD,4,f,2017,2017,2,O,29438,.,.,.,1
QLD,4,f,2018,2018,2,O,30046,.,.,.,1
QLD,4,f,2019,2019,2,O,29942,.,.,.,1
QLD,4,f,2020,2020,2,O,28970,.,.,.,1
QLD,4,f,2021,2021,2,O,31276,.,.,.,1
