QLD, Death rates (period 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.015558        0.019773        0.017713
1971-1974      1-4             0.000881        0.001066        0.000975
1971-1974      5-9             0.000344        0.000424        0.000385
1971-1974     10-14            0.000241        0.000494        0.000370
1971-1974     15-19            0.000714        0.001921        0.001327
1971-1974     20-24            0.000711        0.002106        0.001425
1971-1974     25-29            0.000677        0.001525        0.001113
1971-1974     30-34            0.000940        0.001714        0.001338
1971-1974     35-39            0.001383        0.002553        0.001983
1971-1974     40-44            0.002398        0.003948        0.003195
1971-1974     45-49            0.004169        0.006382        0.005305
1971-1974     50-54            0.005560        0.010462        0.008040
1971-1974     55-59            0.008450        0.016546        0.012458
1971-1974     60-64            0.012185        0.026335        0.019136
1971-1974     65-69            0.018954        0.038024        0.028227
1971-1974     70-74            0.031749        0.058893        0.044075
1971-1974     75-79            0.055958        0.090239        0.069934
1971-1974     80-84            0.094927        0.134009        0.109957
1971-1974     85-89            0.156738        0.199927        0.172265
1971-1974     90-94            0.231792        0.282395        0.247271
1971-1974     95-99            0.365768        0.378992        0.369236
1971-1974    100-104           0.675626        0.706516        0.682564
1971-1974    105-109           4.909091              .        4.909091
1971-1974    110+                    .              .              .
1975-1979        0             0.011944        0.014658        0.013335
1975-1979      1-4             0.000683        0.000818        0.000752
1975-1979      5-9             0.000303        0.000351        0.000328
1975-1979     10-14            0.000262        0.000397        0.000331
1975-1979     15-19            0.000567        0.001686        0.001137
1975-1979     20-24            0.000565        0.001927        0.001262
1975-1979     25-29            0.000508        0.001503        0.001016
1975-1979     30-34            0.000744        0.001584        0.001174
1975-1979     35-39            0.001284        0.002109        0.001707
1975-1979     40-44            0.001986        0.003603        0.002816
1975-1979     45-49            0.003355        0.006009        0.004718
1975-1979     50-54            0.005025        0.009309        0.007214
1975-1979     55-59            0.007203        0.014612        0.010884
1975-1979     60-64            0.011232        0.022953        0.016889
1975-1979     65-69            0.016164        0.035055        0.025213
1975-1979     70-74            0.026245        0.051516        0.037892
1975-1979     75-79            0.046657        0.079633        0.060381
1975-1979     80-84            0.082883        0.120789        0.096514
1975-1979     85-89            0.134861        0.185011        0.151730
1975-1979     90-94            0.203164        0.256773        0.219367
1975-1979     95-99            0.303350        0.403629        0.326617
1975-1979    100-104           0.458514        0.680915        0.489378
1975-1979    105-109           1.196970              .        1.196970
1975-1979    110+                    .              .              .
1980-1984        0             0.009063        0.011066        0.010096
1980-1984      1-4             0.000541        0.000662        0.000603
1980-1984      5-9             0.000179        0.000304        0.000243
1980-1984     10-14            0.000219        0.000354        0.000288
1980-1984     15-19            0.000402        0.001374        0.000896
1980-1984     20-24            0.000523        0.001626        0.001087
1980-1984     25-29            0.000538        0.001371        0.000964
1980-1984     30-34            0.000640        0.001419        0.001036
1980-1984     35-39            0.000898        0.001583        0.001249
1980-1984     40-44            0.001439        0.002767        0.002124
1980-1984     45-49            0.002535        0.004551        0.003574
1980-1984     50-54            0.004064        0.007615        0.005877
1980-1984     55-59            0.005972        0.012780        0.009412
1980-1984     60-64            0.009456        0.019176        0.014194
1980-1984     65-69            0.014836        0.031194        0.022574
1980-1984     70-74            0.023811        0.048270        0.034928
1980-1984     75-79            0.040493        0.073260        0.054445
1980-1984     80-84            0.073654        0.114052        0.088383
1980-1984     85-89            0.123713        0.170803        0.138459
1980-1984     90-94            0.191902        0.260203        0.210922
1980-1984     95-99            0.312309        0.380537        0.328973
1980-1984    100-104           0.452316        0.626013        0.478728
1980-1984    105-109           1.312166              .        1.312166
1980-1984    110+                    .              .              .
1985-1989        0             0.008127        0.009734        0.008952
1985-1989      1-4             0.000471        0.000613        0.000544
1985-1989      5-9             0.000197        0.000222        0.000210
1985-1989     10-14            0.000182        0.000292        0.000239
1985-1989     15-19            0.000395        0.001120        0.000764
1985-1989     20-24            0.000543        0.001482        0.001021
1985-1989     25-29            0.000514        0.001334        0.000929
1985-1989     30-34            0.000571        0.001356        0.000966
1985-1989     35-39            0.000782        0.001689        0.001240
1985-1989     40-44            0.001253        0.002148        0.001711
1985-1989     45-49            0.002132        0.003444        0.002811
1985-1989     50-54            0.003695        0.006373        0.005072
1985-1989     55-59            0.005759        0.010740        0.008289
1985-1989     60-64            0.008265        0.017792        0.013008
1985-1989     65-69            0.013454        0.027107        0.020015
1985-1989     70-74            0.023835        0.044188        0.033082
1985-1989     75-79            0.038903        0.068092        0.051349
1985-1989     80-84            0.068789        0.110071        0.084427
1985-1989     85-89            0.122178        0.175352        0.138884
1985-1989     90-94            0.194496        0.266280        0.212460
1985-1989     95-99            0.300949        0.371736        0.316500
1985-1989    100-104           0.429520        0.591324        0.455779
1985-1989    105-109           0.778565        6.000000        0.792998
1985-1989    110+                    .              .              .
1990-1994        0             0.006343        0.008069        0.007230
1990-1994      1-4             0.000355        0.000464        0.000411
1990-1994      5-9             0.000165        0.000215        0.000191
1990-1994     10-14            0.000173        0.000245        0.000210
1990-1994     15-19            0.000407        0.000912        0.000665
1990-1994     20-24            0.000395        0.001262        0.000834
1990-1994     25-29            0.000486        0.001217        0.000853
1990-1994     30-34            0.000518        0.001329        0.000922
1990-1994     35-39            0.000781        0.001488        0.001134
1990-1994     40-44            0.001146        0.001942        0.001549
1990-1994     45-49            0.001772        0.002866        0.002333
1990-1994     50-54            0.003020        0.004961        0.004023
1990-1994     55-59            0.004852        0.008843        0.006892
1990-1994     60-64            0.007950        0.015205        0.011593
1990-1994     65-69            0.012252        0.024784        0.018384
1990-1994     70-74            0.020756        0.037847        0.028677
1990-1994     75-79            0.036057        0.063192        0.047629
1990-1994     80-84            0.062469        0.100393        0.076788
1990-1994     85-89            0.110266        0.157075        0.125570
1990-1994     90-94            0.184029        0.245473        0.199800
1990-1994     95-99            0.288646        0.361347        0.301750
1990-1994    100-104           0.416510        0.645875        0.447056
1990-1994    105-109           0.741580        6.000000        0.764453
1990-1994    110+                    .              .              .
1995-1999        0             0.005242        0.006838        0.006061
1995-1999      1-4             0.000305        0.000446        0.000377
1995-1999      5-9             0.000156        0.000177        0.000167
1995-1999     10-14            0.000170        0.000195        0.000182
1995-1999     15-19            0.000407        0.000932        0.000676
1995-1999     20-24            0.000442        0.001321        0.000886
1995-1999     25-29            0.000471        0.001305        0.000889
1995-1999     30-34            0.000565        0.001467        0.001013
1995-1999     35-39            0.000801        0.001619        0.001207
1995-1999     40-44            0.001069        0.001963        0.001515
1995-1999     45-49            0.001658        0.002788        0.002230
1995-1999     50-54            0.002633        0.004361        0.003518
1995-1999     55-59            0.004236        0.007305        0.005816
1995-1999     60-64            0.006689        0.012516        0.009654
1995-1999     65-69            0.011183        0.021038        0.016072
1995-1999     70-74            0.018613        0.034846        0.026306
1995-1999     75-79            0.032213        0.053396        0.041514
1995-1999     80-84            0.058224        0.092193        0.071165
1995-1999     85-89            0.105297        0.149632        0.119964
1995-1999     90-94            0.188637        0.231810        0.200621
1995-1999     95-99            0.307996        0.361367        0.318969
1995-1999    100-104           0.461036        0.559155        0.473186
1995-1999    105-109           0.806351        6.000000        0.818523
1995-1999    110+                    .              .              .
2000-2004        0             0.004948        0.005971        0.005473
2000-2004      1-4             0.000219        0.000336        0.000279
2000-2004      5-9             0.000113        0.000150        0.000132
2000-2004     10-14            0.000114        0.000166        0.000141
2000-2004     15-19            0.000286        0.000693        0.000494
2000-2004     20-24            0.000344        0.001078        0.000716
2000-2004     25-29            0.000433        0.001196        0.000813
2000-2004     30-34            0.000465        0.001243        0.000850
2000-2004     35-39            0.000710        0.001396        0.001048
2000-2004     40-44            0.001053        0.001848        0.001446
2000-2004     45-49            0.001601        0.002641        0.002118
2000-2004     50-54            0.002270        0.003805        0.003042
2000-2004     55-59            0.003599        0.005978        0.004812
2000-2004     60-64            0.005527        0.010169        0.007898
2000-2004     65-69            0.009501        0.016872        0.013215
2000-2004     70-74            0.016388        0.028048        0.022065
2000-2004     75-79            0.028250        0.047543        0.037021
2000-2004     80-84            0.053214        0.082274        0.064774
2000-2004     85-89            0.100360        0.142932        0.114737
2000-2004     90-94            0.186536        0.235662        0.200407
2000-2004     95-99            0.291601        0.348885        0.304632
2000-2004    100-104           0.473334        0.523003        0.481411
2000-2004    105-109           0.836381        2.391304        0.869206
2000-2004    110+                    .              .              .
2005-2009        0             0.004505        0.005818        0.005182
2005-2009      1-4             0.000229        0.000274        0.000253
2005-2009      5-9             0.000117        0.000127        0.000122
2005-2009     10-14            0.000111        0.000125        0.000118
2005-2009     15-19            0.000251        0.000546        0.000402
2005-2009     20-24            0.000301        0.000785        0.000547
2005-2009     25-29            0.000345        0.000896        0.000624
2005-2009     30-34            0.000436        0.001065        0.000749
2005-2009     35-39            0.000657        0.001276        0.000964
2005-2009     40-44            0.000907        0.001665        0.001282
2005-2009     45-49            0.001410        0.002389        0.001894
2005-2009     50-54            0.002101        0.003536        0.002815
2005-2009     55-59            0.003248        0.005505        0.004382
2005-2009     60-64            0.005054        0.008601        0.006852
2005-2009     65-69            0.008373        0.014290        0.011361
2005-2009     70-74            0.014062        0.023860        0.018912
2005-2009     75-79            0.025434        0.041307        0.032854
2005-2009     80-84            0.048604        0.075885        0.059994
2005-2009     85-89            0.094954        0.132031        0.108269
2005-2009     90-94            0.177261        0.218305        0.189293
2005-2009     95-99            0.287750        0.367283        0.305806
2005-2009    100-104           0.449319        0.557363        0.467464
2005-2009    105-109           0.720171        1.532086        0.767125
2005-2009    110+                    .              .              .
2010-2014        0             0.004485        0.005050        0.004775
2010-2014      1-4             0.000174        0.000201        0.000188
2010-2014      5-9             0.000102        0.000099        0.000101
2010-2014     10-14            0.000071        0.000133        0.000102
2010-2014     15-19            0.000264        0.000467        0.000367
2010-2014     20-24            0.000296        0.000687        0.000494
2010-2014     25-29            0.000340        0.000796        0.000569
2010-2014     30-34            0.000458        0.000942        0.000699
2010-2014     35-39            0.000657        0.001255        0.000953
2010-2014     40-44            0.000916        0.001614        0.001261
2010-2014     45-49            0.001453        0.002303        0.001872
2010-2014     50-54            0.002118        0.003482        0.002791
2010-2014     55-59            0.003110        0.005232        0.004161
2010-2014     60-64            0.004754        0.008072        0.006413
2010-2014     65-69            0.007175        0.012632        0.009916
2010-2014     70-74            0.012834        0.020825        0.016819
2010-2014     75-79            0.022321        0.036033        0.028864
2010-2014     80-84            0.044826        0.067336        0.054706
2010-2014     85-89            0.089410        0.121646        0.101705
2010-2014     90-94            0.169542        0.209837        0.182238
2010-2014     95-99            0.287945        0.359912        0.305083
2010-2014    100-104           0.467363        0.529731        0.477445
2010-2014    105-109           0.743640        1.477510        0.776753
2010-2014    110+                    .              .              .
2015-2019        0             0.003672        0.004296        0.003992
2015-2019      1-4             0.000139        0.000220        0.000181
2015-2019      5-9             0.000085        0.000080        0.000082
2015-2019     10-14            0.000081        0.000104        0.000093
2015-2019     15-19            0.000233        0.000405        0.000321
2015-2019     20-24            0.000264        0.000746        0.000507
2015-2019     25-29            0.000291        0.000731        0.000510
2015-2019     30-34            0.000444        0.001025        0.000730
2015-2019     35-39            0.000600        0.001256        0.000923
2015-2019     40-44            0.000947        0.001783        0.001358
2015-2019     45-49            0.001393        0.002270        0.001823
2015-2019     50-54            0.002042        0.003331        0.002674
