QLD, Death rates (cohort 5x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1892           0                    .               .               .
  1892         1-4                    .               .               .
  1892         5-9                    .               .               .
  1892        10-14                   .               .               .
  1892        15-19                   .               .               .
  1892        20-24                   .               .               .
  1892        25-29                   .               .               .
  1892        30-34                   .               .               .
  1892        35-39                   .               .               .
  1892        40-44                   .               .               .
  1892        45-49                   .               .               .
  1892        50-54                   .               .               .
  1892        55-59                   .               .               .
  1892        60-64                   .               .               .
  1892        65-69                   .               .               .
  1892        70-74                   .               .               .
  1892        75-79                   .               .               .
  1892        80-84            0.092216        0.131105        0.106874
  1892        85-89            0.129783        0.173212        0.144096
  1892        90-94            0.191538        0.248514        0.207086
  1892        95-99            0.293028        0.380299        0.311434
  1892       100-104           0.425667        0.622951        0.450688
  1892       105-109           0.823483        3.000000        0.848235
  1892       110+                    .              .              .
  1893           0                    .               .               .
  1893         1-4                    .               .               .
  1893         5-9                    .               .               .
  1893        10-14                   .               .               .
  1893        15-19                   .               .               .
  1893        20-24                   .               .               .
  1893        25-29                   .               .               .
  1893        30-34                   .               .               .
  1893        35-39                   .               .               .
  1893        40-44                   .               .               .
  1893        45-49                   .               .               .
  1893        50-54                   .               .               .
  1893        55-59                   .               .               .
  1893        60-64                   .               .               .
  1893        65-69                   .               .               .
  1893        70-74                   .               .               .
  1893        75-79                   .               .               .
  1893        80-84            0.089811        0.129544        0.104579
  1893        85-89            0.126056        0.182336        0.143879
  1893        90-94            0.195280        0.254619        0.210462
  1893        95-99            0.304844        0.395875        0.322868
  1893       100-104           0.441880        0.610850        0.462591
  1893       105-109           0.746902        3.000000        0.771174
  1893       110+                    .              .              .
  1894           0                    .               .               .
  1894         1-4                    .               .               .
  1894         5-9                    .               .               .
  1894        10-14                   .               .               .
  1894        15-19                   .               .               .
  1894        20-24                   .               .               .
  1894        25-29                   .               .               .
  1894        30-34                   .               .               .
  1894        35-39                   .               .               .
  1894        40-44                   .               .               .
  1894        45-49                   .               .               .
  1894        50-54                   .               .               .
  1894        55-59                   .               .               .
  1894        60-64                   .               .               .
  1894        65-69                   .               .               .
  1894        70-74                   .               .               .
  1894        75-79                   .               .               .
  1894        80-84            0.087459        0.123909        0.100470
  1894        85-89            0.127204        0.180665        0.143785
  1894        90-94            0.188481        0.289194        0.212272
  1894        95-99            0.301305        0.382281        0.314195
