QLD, Life tables (period 1x1), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01794  0.01766  0.12  100000    1766   98439  7477975  74.78
  1971           1      0.00147  0.00147  0.50   98234     145   98162  7379536  75.12
  1971           2      0.00089  0.00089  0.50   98089      87   98046  7281374  74.23
  1971           3      0.00107  0.00107  0.50   98002     105   97950  7183328  73.30
  1971           4      0.00012  0.00012  0.50   97898      11   97892  7085378  72.38
  1971           5      0.00017  0.00017  0.50   97886      17   97878  6987486  71.38
  1971           6      0.00052  0.00052  0.50   97869      51   97844  6889609  70.40
  1971           7      0.00017  0.00017  0.50   97818      16   97810  6791765  69.43
  1971           8      0.00011  0.00011  0.50   97802      10   97797  6693955  68.44
  1971           9      0.00005  0.00005  0.50   97792       5   97789  6596158  67.45
  1971          10      0.00016  0.00016  0.50   97786      16   97779  6498369  66.45
  1971          11      0.00016  0.00016  0.50   97771      16   97763  6400590  65.47
  1971          12      0.00016  0.00016  0.50   97755      16   97747  6302827  64.48
  1971          13      0.00017  0.00017  0.50   97739      16   97731  6205080  63.49
  1971          14      0.00017  0.00017  0.50   97723      17   97714  6107350  62.50
  1971          15      0.00064  0.00064  0.50   97706      63   97675  6009635  61.51
  1971          16      0.00083  0.00083  0.50   97643      81   97603  5911961  60.55
  1971          17      0.00061  0.00061  0.50   97562      59   97532  5814358  59.60
  1971          18      0.00093  0.00093  0.50   97503      91   97457  5716825  58.63
  1971          19      0.00070  0.00070  0.50   97412      68   97378  5619368  57.69
  1971          20      0.00096  0.00096  0.50   97344      94   97298  5521990  56.73
  1971          21      0.00111  0.00111  0.50   97251     108   97197  5424692  55.78
  1971          22      0.00040  0.00040  0.50   97142      39   97123  5327496  54.84
  1971          23      0.00060  0.00060  0.50   97104      58   97075  5230373  53.86
  1971          24      0.00109  0.00108  0.50   97046     105   96993  5133298  52.90
  1971          25      0.00061  0.00061  0.50   96941      59   96911  5036305  51.95
  1971          26      0.00090  0.00090  0.50   96881      87   96838  4939394  50.98
  1971          27      0.00054  0.00054  0.50   96794      52   96768  4842556  50.03
  1971          28      0.00097  0.00097  0.50   96742      94   96695  4745788  49.06
  1971          29      0.00145  0.00145  0.50   96648     140   96578  4649093  48.10
  1971          30      0.00070  0.00070  0.50   96508      67   96474  4552515  47.17
  1971          31      0.00108  0.00108  0.50   96440     104   96388  4456041  46.21
  1971          32      0.00111  0.00111  0.50   96336     107   96283  4359653  45.25
  1971          33      0.00094  0.00094  0.50   96229      90   96184  4263370  44.30
  1971          34      0.00173  0.00172  0.50   96139     166   96056  4167186  43.35
  1971          35      0.00135  0.00134  0.50   95973     129   95909  4071130  42.42
  1971          36      0.00108  0.00108  0.50   95844     104   95792  3975222  41.48
  1971          37      0.00132  0.00132  0.50   95740     126   95677  3879430  40.52
  1971          38      0.00144  0.00144  0.50   95614     138   95545  3783752  39.57
  1971          39      0.00167  0.00167  0.50   95476     159   95397  3688207  38.63
  1971          40      0.00246  0.00245  0.50   95317     234   95200  3592810  37.69
  1971          41      0.00283  0.00283  0.50   95083     269   94949  3497610  36.78
  1971          42      0.00240  0.00239  0.50   94815     227   94701  3402661  35.89
  1971          43      0.00275  0.00274  0.50   94588     259   94458  3307960  34.97
  1971          44      0.00262  0.00262  0.50   94328     247   94205  3213502  34.07
  1971          45      0.00390  0.00389  0.50   94081     366   93898  3119297  33.16
  1971          46      0.00366  0.00366  0.50   93715     343   93544  3025399  32.28
  1971          47      0.00362  0.00361  0.50   93373     338   93204  2931855  31.40
  1971          48      0.00521  0.00520  0.50   93035     483   92794  2838651  30.51
  1971          49      0.00355  0.00355  0.50   92552     328   92388  2745857  29.67
  1971          50      0.00511  0.00510  0.50   92224     471   91988  2653469  28.77
