QLD, Life tables (period 1x10), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01703  0.01677  0.12  100000    1677   98516  6901793  69.02
1971-1979        1      0.00135  0.00135  0.50   98323     133   98256  6803277  69.19
1971-1979        2      0.00100  0.00100  0.50   98190      98   98141  6705020  68.29
1971-1979        3      0.00084  0.00084  0.50   98092      82   98051  6606880  67.35
1971-1979        4      0.00055  0.00055  0.50   98010      54   97983  6508829  66.41
1971-1979        5      0.00048  0.00048  0.50   97956      47   97932  6410846  65.45
1971-1979        6      0.00049  0.00049  0.50   97909      48   97885  6312913  64.48
1971-1979        7      0.00035  0.00035  0.50   97861      35   97844  6215028  63.51
1971-1979        8      0.00028  0.00028  0.50   97827      28   97813  6117185  62.53
1971-1979        9      0.00031  0.00031  0.50   97799      30   97784  6019372  61.55
1971-1979       10      0.00037  0.00037  0.50   97769      36   97751  5921588  60.57
1971-1979       11      0.00028  0.00028  0.50   97733      27   97720  5823837  59.59
1971-1979       12      0.00049  0.00049  0.50   97706      48   97682  5726117  58.61
1971-1979       13      0.00045  0.00045  0.50   97658      44   97636  5628435  57.63
1971-1979       14      0.00062  0.00062  0.50   97615      60   97585  5530799  56.66
1971-1979       15      0.00076  0.00076  0.50   97554      74   97517  5433214  55.69
1971-1979       16      0.00125  0.00125  0.50   97480     122   97419  5335697  54.74
1971-1979       17      0.00189  0.00188  0.50   97358     183   97267  5238277  53.80
1971-1979       18      0.00238  0.00238  0.50   97175     231   97059  5141011  52.90
1971-1979       19      0.00274  0.00273  0.50   96944     265   96812  5043951  52.03
1971-1979       20      0.00223  0.00223  0.50   96679     216   96571  4947140  51.17
1971-1979       21      0.00225  0.00225  0.50   96464     217   96355  4850568  50.28
1971-1979       22      0.00200  0.00200  0.50   96247     192   96151  4754213  49.40
1971-1979       23      0.00175  0.00175  0.50   96055     168   95971  4658062  48.49
1971-1979       24      0.00176  0.00176  0.50   95887     169   95802  4562092  47.58
1971-1979       25      0.00180  0.00180  0.50   95718     172   95632  4466289  46.66
1971-1979       26      0.00141  0.00141  0.50   95546     135   95479  4370657  45.74
1971-1979       27      0.00153  0.00153  0.50   95411     146   95338  4275179  44.81
1971-1979       28      0.00134  0.00134  0.50   95265     128   95201  4179840  43.88
1971-1979       29      0.00146  0.00146  0.50   95137     139   95068  4084639  42.93
1971-1979       30      0.00143  0.00143  0.50   94998     136   94931  3989571  42.00
1971-1979       31      0.00168  0.00168  0.50   94863     160   94783  3894641  41.06
1971-1979       32      0.00176  0.00176  0.50   94703     167   94620  3799857  40.12
1971-1979       33      0.00156  0.00156  0.50   94536     147   94463  3705238  39.19
1971-1979       34      0.00175  0.00175  0.50   94389     165   94306  3610775  38.25
1971-1979       35      0.00206  0.00206  0.50   94223     194   94127  3516469  37.32
