SA, Deaths (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0              1004.00         1383.00         2387.00
1971-1979        1                77.00          129.00          206.00
1971-1979        2                39.00           82.00          121.00
1971-1979        3                37.00           69.00          106.00
1971-1979        4                37.00           45.00           82.00
1971-1979        5                27.00           37.00           64.00
1971-1979        6                27.00           21.00           48.00
1971-1979        7                26.00           32.00           58.00
1971-1979        8                25.00           34.00           59.00
1971-1979        9                22.00           40.00           62.00
1971-1979       10                13.00           17.00           30.00
1971-1979       11                18.00           40.00           58.00
1971-1979       12                24.00           31.00           55.00
1971-1979       13                32.00           25.00           57.00
1971-1979       14                21.00           44.00           65.00
1971-1979       15                44.00           73.00          117.00
1971-1979       16                48.00          144.00          192.00
1971-1979       17                52.00          176.00          228.00
1971-1979       18                65.00          219.00          284.00
1971-1979       19                53.00          206.00          259.00
1971-1979       20                63.00          172.00          235.00
1971-1979       21                50.00          162.00          212.00
1971-1979       22                34.00          158.00          192.00
1971-1979       23                35.00          118.00          153.00
1971-1979       24                42.00          108.00          150.00
1971-1979       25                28.00          136.00          164.00
1971-1979       26                49.00          135.00          184.00
1971-1979       27                49.00           97.00          146.00
1971-1979       28                41.00          107.00          148.00
1971-1979       29                41.00          104.00          145.00
1971-1979       30                31.00           92.00          123.00
1971-1979       31                51.00          105.00          156.00
1971-1979       32                46.00          104.00          150.00
1971-1979       33                52.00           74.00          126.00
1971-1979       34                68.00           95.00          163.00
1971-1979       35                45.00          105.00          150.00
1971-1979       36                45.00          119.00          164.00
1971-1979       37                64.00          122.00          186.00
1971-1979       38                69.00          115.00          184.00
1971-1979       39                62.00          138.00          200.00
1971-1979       40                84.00          135.00          219.00
1971-1979       41                87.00          157.00          244.00
1971-1979       42               102.00          173.00          275.00
1971-1979       43               104.00          179.00          283.00
1971-1979       44               128.00          217.00          345.00
1971-1979       45               102.00          222.00          324.00
1971-1979       46               148.00          316.00          464.00
1971-1979       47               155.00          333.00          488.00
1971-1979       48               217.00          418.00          635.00
1971-1979       49               223.00          449.00          672.00
1971-1979       50               229.00          465.00          694.00
1971-1979       51               255.00          461.00          716.00
1971-1979       52               294.00          559.00          853.00
1971-1979       53               306.00          540.00          846.00
1971-1979       54               304.00          602.00          906.00
1971-1979       55               324.00          608.00          932.00
1971-1979       56               348.00          720.00         1068.00
1971-1979       57               325.00          755.00         1080.00
1971-1979       58               359.00          841.00         1200.00
1971-1979       59               432.00          892.00         1324.00
1971-1979       60               420.00          978.00         1398.00
1971-1979       61               490.00          940.00         1430.00
1971-1979       62               524.00         1060.00         1584.00
1971-1979       63               522.00         1148.00         1670.00
1971-1979       64               625.00         1112.00         1737.00
1971-1979       65               592.00         1234.00         1826.00
1971-1979       66               613.00         1204.00         1817.00
1971-1979       67               715.00         1386.00         2101.00
1971-1979       68               671.00         1285.00         1956.00
