PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
SA,5,f,0,1,O,30,6,1971,3,O,10767,.,.,.,1
SA,5,f,1,1,O,30,6,1971,3,O,10877,.,.,.,1
SA,5,f,2,1,O,30,6,1971,3,O,10975,.,.,.,1
SA,5,f,3,1,O,30,6,1971,3,O,10643,.,.,.,1
SA,5,f,4,1,O,30,6,1971,3,O,10398,.,.,.,1
SA,5,f,5,1,O,30,6,1971,3,O,10756,.,.,.,1
SA,5,f,6,1,O,30,6,1971,3,O,10749,.,.,.,1
SA,5,f,7,1,O,30,6,1971,3,O,11246,.,.,.,1
SA,5,f,8,1,O,30,6,1971,3,O,11616,.,.,.,1
SA,5,f,9,1,O,30,6,1971,3,O,11909,.,.,.,1
SA,5,f,10,1,O,30,6,1971,3,O,12203,.,.,.,1
SA,5,f,11,1,O,30,6,1971,3,O,11969,.,.,.,1
SA,5,f,12,1,O,30,6,1971,3,O,11966,.,.,.,1
SA,5,f,13,1,O,30,6,1971,3,O,11536,.,.,.,1
SA,5,f,14,1,O,30,6,1971,3,O,11517,.,.,.,1
SA,5,f,15,1,O,30,6,1971,3,O,11244,.,.,.,1
SA,5,f,16,1,O,30,6,1971,3,O,10921,.,.,.,1
SA,5,f,17,1,O,30,6,1971,3,O,10757,.,.,.,1
SA,5,f,18,1,O,30,6,1971,3,O,10852,.,.,.,1
SA,5,f,19,1,O,30,6,1971,3,O,10364,.,.,.,1
SA,5,f,20,1,O,30,6,1971,3,O,10241,.,.,.,1
SA,5,f,21,1,O,30,6,1971,3,O,10134,.,.,.,1
SA,5,f,22,1,O,30,6,1971,3,O,9957,.,.,.,1
SA,5,f,23,1,O,30,6,1971,3,O,9902,.,.,.,1
SA,5,f,24,1,O,30,6,1971,3,O,10839,.,.,.,1
SA,5,f,25,1,O,30,6,1971,3,O,8680,.,.,.,1
SA,5,f,26,1,O,30,6,1971,3,O,8675,.,.,.,1
SA,5,f,27,1,O,30,6,1971,3,O,8117,.,.,.,1
SA,5,f,28,1,O,30,6,1971,3,O,7643,.,.,.,1
SA,5,f,29,1,O,30,6,1971,3,O,7393,.,.,.,1
SA,5,f,30,1,O,30,6,1971,3,O,7148,.,.,.,1
SA,5,f,31,1,O,30,6,1971,3,O,7047,.,.,.,1
SA,5,f,32,1,O,30,6,1971,3,O,7233,.,.,.,1
SA,5,f,33,1,O,30,6,1971,3,O,6814,.,.,.,1
SA,5,f,34,1,O,30,6,1971,3,O,6917,.,.,.,1
SA,5,f,35,1,O,30,6,1971,3,O,6844,.,.,.,1
SA,5,f,36,1,O,30,6,1971,3,O,6483,.,.,.,1
SA,5,f,37,1,O,30,6,1971,3,O,6505,.,.,.,1
SA,5,f,38,1,O,30,6,1971,3,O,6575,.,.,.,1
SA,5,f,39,1,O,30,6,1971,3,O,6584,.,.,.,1
SA,5,f,40,1,O,30,6,1971,3,O,7384,.,.,.,1
SA,5,f,41,1,O,30,6,1971,3,O,6731,.,.,.,1
SA,5,f,42,1,O,30,6,1971,3,O,7292,.,.,.,1
SA,5,f,43,1,O,30,6,1971,3,O,7318,.,.,.,1
