SA, Population size (abridged)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             10841.54        11345.52        22187.06
  1971           1             10931.13        11277.34        22208.47
  1971           2             10811.37        11270.09        22081.46
  1971           3             10523.50        11068.32        21591.82
  1971           4             10576.35        11055.50        21631.85
  1971           5             10753.54        11313.10        22066.64
  1971           6             10997.75        11726.21        22723.96
  1971           7             11431.44        12109.12        23540.56
  1971           8             11763.36        12209.80        23973.16
  1971           9             12056.62        12434.79        24491.41
  1971          10             12086.96        12460.64        24547.60
  1971          11             11967.89        12290.66        24258.55
  1971          12             11754.00        12187.54        23941.54
  1971          13             11527.07        11978.09        23505.16
  1971          14             11382.74        11722.60        23105.34
  1971          15             11086.77        11440.89        22527.66
  1971          16             10843.75        11104.82        21948.57
  1971          17             10810.50        10817.84        21628.34
  1971          18             10613.46        10548.66        21162.12
  1971          19             10307.08        10214.00        20521.08
  1971          20             10193.32        10171.44        20364.76
  1971          21             10049.56        10082.28        20131.84
  1971          22              9932.05         9953.24        19885.29
  1971          23             10369.86        10564.46        20934.32
  1971          24              9770.57        10067.70        19838.27
  1971          25              8679.72         8873.17        17552.89
  1971          26              8402.13         8551.26        16953.39
  1971          27              7884.28         8098.37        15982.65
  1971          28              7521.16         7859.91        15381.07
  1971          29              7274.82         7683.45        14958.27
  1971          30              7102.12         7353.29        14455.41
  1971          31              7142.59         7215.57        14358.16
  1971          32              7027.69         7072.94        14100.63
  1971          33              6868.82         6915.58        13784.40
  1971          34              6884.00         6980.54        13864.54
  1971          35              6667.86         6898.72        13566.58
  1971          36              6498.10         6693.51        13191.61
  1971          37              6543.31         6762.93        13306.24
  1971          38              6583.22         6842.70        13425.92
  1971          39              6984.18         7122.69        14106.87
  1971          40              7064.92         7525.13        14590.05
  1971          41              7017.72         7718.05        14735.77
  1971          42              7312.76         7906.27        15219.03
  1971          43              7307.33         7844.59        15151.92
  1971          44              7468.87         7919.35        15388.22
  1971          45              7661.39         7955.07        15616.46
  1971          46              7488.98         7699.74        15188.72
  1971          47              7356.98         7525.11        14882.09
  1971          48              7412.54         7432.53        14845.07
  1971          49              7461.03         7557.79        15018.82
  1971          50              7012.31         7221.08        14233.39
  1971          51              6272.34         6396.88        12669.22
  1971          52              6070.57         5939.73        12010.30
  1971          53              6034.65         5941.92        11976.57
  1971          54              5875.55         5974.55        11850.10
  1971          55              5930.23         6010.97        11941.20
  1971          56              6057.53         6159.06        12216.59
  1971          57              5953.75         6032.65        11986.40
  1971          58              5729.21         5693.87        11423.08
  1971          59              5638.23         5291.47        10929.70
  1971          60              5328.92         4937.15        10266.07
  1971          61              5021.00         4799.63         9820.63
  1971          62              4942.91         4564.96         9507.87
  1971          63              4620.17         4190.51         8810.68
  1971          64              4414.05         4065.67         8479.72
  1971          65              4224.25         3841.18         8065.43
  1971          66              3937.43         3556.16         7493.59
  1971          67              3693.54         3368.47         7062.01
  1971          68              3535.35         3075.72         6611.07
  1971          69              3571.26         2884.25         6455.51
  1971          70              3567.84         2719.84         6287.68
  1971          71              3311.88         2480.78         5792.66
  1971          72              3042.26         2175.03         5217.29
  1971          73              2946.69         1934.30         4880.99
  1971          74              2945.11         1796.17         4741.28
  1971          75              2832.52         1714.86         4547.38
  1971          76              2612.47         1601.19         4213.66
  1971          77              2419.22         1487.26         3906.48
  1971          78              2300.98         1393.56         3694.54
  1971          79              2190.91         1259.31         3450.22
  1971          80              1969.23         1149.56         3118.79
  1971          81              1766.94         1019.30         2786.24
  1971          82              1554.49          906.59         2461.08
  1971          83              1327.61          765.80         2093.41
  1971          84              1187.51          622.85         1810.36
  1971          85              1030.17          508.01         1538.18
  1971          86               845.14          421.03         1266.17
  1971          87               690.67          314.85         1005.52
  1971          88               542.66          227.04          769.70
  1971          89               442.72          185.72          628.44
  1971          90               347.55          146.45          494.00
  1971          91               245.39           96.52          341.91
  1971          92               181.51           63.82          245.33
  1971          93               144.21           50.93          195.14
  1971          94                99.88           32.25          132.13
  1971          95                61.90           18.53           80.43
  1971          96                40.43           12.01           52.44
  1971          97                30.71            6.25           36.96
  1971          98                22.21            5.59           27.80
  1971          99                12.48            4.47           16.95
  1971         100                 8.58            2.03           10.61
  1971         101                 5.02            0.82            5.84
  1971         102                 2.61            0.00            2.61
  1971         103                 1.49            0.00            1.49
  1971         104                 0.94            0.00            0.94
  1971         105                 0.33            0.00            0.33
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
