SA, Life tables (period 1x1), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01490  0.01470  0.12  100000    1470   98704  7601706  76.02
  1971           1      0.00147  0.00147  0.50   98530     145   98457  7503002  76.15
  1971           2      0.00009  0.00009  0.50   98385       9   98380  7404545  75.26
  1971           3      0.00046  0.00046  0.50   98376      46   98353  7306165  74.27
  1971           4      0.00019  0.00019  0.50   98330      18   98321  7207812  73.30
  1971           5      0.00009  0.00009  0.50   98312       9   98307  7109491  72.32
  1971           6      0.00046  0.00046  0.50   98302      45   98280  7011184  71.32
  1971           7      0.00036  0.00036  0.50   98257      35   98239  6912905  70.36
  1971           8      0.00035  0.00035  0.50   98222      34   98205  6814665  69.38
  1971           9      0.00042  0.00042  0.50   98188      41   98167  6716460  68.40
  1971          10      0.00000  0.00000  0.50   98146       0   98146  6618293  67.43
  1971          11      0.00000  0.00000  0.50   98146       0   98146  6520147  66.43
  1971          12      0.00025  0.00025  0.50   98146      25   98134  6422001  65.43
  1971          13      0.00009  0.00009  0.50   98121       8   98117  6323867  64.45
  1971          14      0.00009  0.00009  0.50   98113       9   98109  6225750  63.45
  1971          15      0.00053  0.00053  0.50   98105      52   98078  6127641  62.46
  1971          16      0.00055  0.00055  0.50   98052      54   98026  6029563  61.49
  1971          17      0.00139  0.00139  0.50   97999     136   97931  5931537  60.53
  1971          18      0.00066  0.00066  0.50   97863      64   97831  5833606  59.61
  1971          19      0.00066  0.00066  0.50   97798      65   97766  5735776  58.65
  1971          20      0.00117  0.00117  0.50   97734     115   97676  5638010  57.69
  1971          21      0.00079  0.00079  0.50   97619      77   97580  5540334  56.75
  1971          22      0.00040  0.00040  0.50   97542      39   97522  5442753  55.80
  1971          23      0.00069  0.00069  0.50   97502      68   97469  5345231  54.82
  1971          24      0.00051  0.00051  0.50   97435      49   97410  5247763  53.86
  1971          25      0.00031  0.00031  0.50   97386      30   97371  5150352  52.89
  1971          26      0.00105  0.00105  0.50   97356     103   97305  5052981  51.90
  1971          27      0.00060  0.00060  0.50   97253      59   97224  4955677  50.96
  1971          28      0.00051  0.00051  0.50   97195      49   97170  4858453  49.99
  1971          29      0.00080  0.00080  0.50   97145      78   97107  4761282  49.01
  1971          30      0.00124  0.00124  0.50   97068     120   97008  4664176  48.05
  1971          31      0.00112  0.00112  0.50   96947     108   96893  4567168  47.11
  1971          32      0.00057  0.00056  0.50   96839      55   96812  4470275  46.16
  1971          33      0.00114  0.00114  0.50   96784     110   96729  4373463  45.19
  1971          34      0.00102  0.00102  0.50   96674      98   96625  4276734  44.24
  1971          35      0.00074  0.00074  0.50   96576      71   96540  4180109  43.28
  1971          36      0.00135  0.00135  0.50   96505     130   96440  4083568  42.31
  1971          37      0.00108  0.00108  0.50   96375     104   96323  3987129  41.37
  1971          38      0.00122  0.00122  0.50   96271     117   96212  3890806  40.42
  1971          39      0.00104  0.00104  0.50   96153     100   96104  3794594  39.46
  1971          40      0.00103  0.00103  0.50   96054      99   96004  3698490  38.50
  1971          41      0.00236  0.00236  0.50   95955     227   95842  3602486  37.54
  1971          42      0.00256  0.00256  0.50   95728     245   95606  3506644  36.63
  1971          43      0.00124  0.00124  0.50   95484     118   95425  3411038  35.72
  1971          44      0.00203  0.00203  0.50   95365     194   95269  3315613  34.77
  1971          45      0.00201  0.00200  0.50   95172     191   95076  3220345  33.84
  1971          46      0.00265  0.00265  0.50   94981     251   94856  3125268  32.90
  1971          47      0.00228  0.00227  0.50   94730     215   94622  3030413  31.99
  1971          48      0.00300  0.00299  0.50   94515     283   94373  2935791  31.06
  1971          49      0.00364  0.00363  0.50   94232     342   94061  2841417  30.15
  1971          50      0.00404  0.00403  0.50   93890     378   93700  2747357  29.26
  1971          51      0.00452  0.00451  0.50   93511     422   93301  2653656  28.38
  1971          52      0.00524  0.00523  0.50   93090     487   92846  2560356  27.50
  1971          53      0.00400  0.00399  0.50   92603     369   92418  2467509  26.65
  1971          54      0.00587  0.00585  0.50   92234     540   91964  2375091  25.75
  1971          55      0.00523  0.00522  0.50   91694     479   91454  2283127  24.90
  1971          56      0.00574  0.00573  0.50   91215     522   90954  2191673  24.03
  1971          57      0.00585  0.00583  0.50   90693     529   90428  2100719  23.16
  1971          58      0.00665  0.00662  0.50   90164     597   89865  2010291  22.30
  1971          59      0.00925  0.00920  0.50   89567     824   89155  1920425  21.44
  1971          60      0.00809  0.00806  0.50   88742     715   88385  1831271  20.64
  1971          61      0.00845  0.00841  0.50   88027     740   87657  1742886  19.80
  1971          62      0.01051  0.01046  0.50   87287     913   86831  1655229  18.96
  1971          63      0.01165  0.01158  0.50   86374    1001   85874  1568398  18.16
  1971          64      0.01419  0.01409  0.50   85374    1203   84772  1482524  17.37
  1971          65      0.01285  0.01276  0.50   84171    1074   83634  1397752  16.61
  1971          66      0.01577  0.01565  0.50   83096    1300   82446  1314118  15.81
  1971          67      0.02235  0.02210  0.50   81796    1808   80892  1231672  15.06
  1971          68      0.02158  0.02135  0.50   79988    1708   79134  1150780  14.39
  1971          69      0.02644  0.02609  0.50   78280    2043   77259  1071646  13.69
  1971          70      0.02760  0.02722  0.50   76237    2075   75200   994388  13.04
  1971          71      0.03168  0.03118  0.50   74162    2313   73006   919188  12.39
  1971          72      0.02935  0.02893  0.50   71849    2078   70810   846182  11.78
  1971          73      0.03548  0.03486  0.50   69771    2432   68555   775372  11.11
  1971          74      0.04761  0.04650  0.50   67338    3132   65773   706818  10.50
  1971          75      0.04224  0.04137  0.50   64207    2656   62879   641045   9.98
  1971          76      0.05094  0.04967  0.50   61551    3057   60022   578166   9.39
  1971          77      0.04985  0.04864  0.50   58494    2845   57071   518144   8.86
  1971          78      0.06144  0.05961  0.50   55649    3317   53990   461073   8.29
  1971          79      0.07021  0.06783  0.50   52332    3550   50557   407083   7.78
  1971          80      0.06686  0.06470  0.50   48782    3156   47204   356526   7.31
  1971          81      0.07611  0.07332  0.50   45626    3345   43953   309322   6.78
  1971          82      0.10280  0.09778  0.50   42281    4134   40214   265368   6.28
  1971          83      0.10557  0.10028  0.50   38147    3825   36234   225154   5.90
  1971          84      0.11509  0.10883  0.50   34322    3735   32454   188920   5.50
  1971          85      0.12893  0.12112  0.50   30586    3705   28734   156466   5.12
  1971          86      0.14416  0.13447  0.50   26882    3615   25074   127732   4.75
  1971          87      0.16086  0.14889  0.50   23267    3464   21535   102658   4.41
  1971          88      0.17910  0.16438  0.50   19803    3255   18175    81123   4.10
  1971          89      0.19890  0.18091  0.50   16548    2994   15051    62948   3.80
  1971          90      0.22031  0.19845  0.50   13554    2690   12209    47898   3.53
  1971          91      0.24333  0.21693  0.50   10864    2357    9686    35688   3.28
  1971          92      0.26792  0.23627  0.50    8507    2010    7502    26003   3.06
  1971          93      0.29403  0.25634  0.50    6497    1666    5665    18500   2.85
  1971          94      0.32157  0.27703  0.50    4832    1339    4163    12836   2.66
