TAS, Deaths (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0               439.10          590.06         1029.16
1971-1979        1                36.00           33.01           69.01
1971-1979        2                22.00           35.01           57.01
1971-1979        3                21.01           33.00           54.01
1971-1979        4                23.00           24.00           47.00
1971-1979        5                25.01           22.00           47.01
1971-1979        6                21.00           20.01           41.01
1971-1979        7                16.00           17.00           33.00
1971-1979        8                16.00           22.00           38.00
1971-1979        9                11.00           21.01           32.01
1971-1979       10                11.00           12.00           23.00
1971-1979       11                 7.00           23.00           30.00
1971-1979       12                17.00           24.00           41.00
1971-1979       13                18.00           16.00           34.00
1971-1979       14                31.01           26.01           57.02
1971-1979       15                25.00           31.01           56.01
1971-1979       16                22.01           61.01           83.02
1971-1979       17                28.00           99.01          127.01
1971-1979       18                14.00           99.00          113.00
1971-1979       19                16.01           75.01           91.02
1971-1979       20                20.00           89.01          109.01
1971-1979       21                20.01           72.00           92.01
1971-1979       22                18.01           68.01           86.02
1971-1979       23                20.01           46.01           66.02
1971-1979       24                12.00           47.00           59.00
1971-1979       25                20.01           48.01           68.02
1971-1979       26                20.01           43.00           63.01
1971-1979       27                22.01           38.00           60.01
1971-1979       28                26.02           35.00           61.02
1971-1979       29                23.01           39.01           62.02
1971-1979       30                11.00           30.01           41.01
1971-1979       31                20.00           44.01           64.01
1971-1979       32                18.01           42.01           60.02
1971-1979       33                26.00           41.01           67.01
1971-1979       34                20.01           21.00           41.01
1971-1979       35                19.01           40.01           59.02
1971-1979       36                29.01           35.00           64.01
1971-1979       37                25.01           49.01           74.02
1971-1979       38                27.00           49.01           76.01
1971-1979       39                27.00           51.01           78.01
1971-1979       40                29.02           42.01           71.03
1971-1979       41                25.01           64.00           89.01
1971-1979       42                20.01           64.00           84.01
1971-1979       43                47.01           67.01          114.02
1971-1979       44                44.00           84.01          128.01
1971-1979       45                63.01          104.01          167.02
1971-1979       46                64.01          110.01          174.02
1971-1979       47                53.01          120.01          173.02
1971-1979       48                65.01          120.01          185.02
1971-1979       49                80.01          146.02          226.03
1971-1979       50               101.03          132.01          233.04
1971-1979       51                80.01          182.02          262.03
1971-1979       52                88.02          194.02          282.04
1971-1979       53               108.02          181.02          289.04
1971-1979       54               129.04          225.04          354.08
1971-1979       55               139.04          248.02          387.06
1971-1979       56               131.03          215.02          346.05
1971-1979       57               143.05          252.03          395.08
1971-1979       58               152.04          281.03          433.07
1971-1979       59               155.02          331.04          486.06
1971-1979       60               156.04          318.04          474.08
1971-1979       61               175.03          325.03          500.06
1971-1979       62               181.03          341.05          522.08
1971-1979       63               203.04          376.04          579.08
1971-1979       64               185.04          397.06          582.10
1971-1979       65               214.03          436.05          650.08
1971-1979       66               182.04          421.06          603.10
1971-1979       67               231.06          435.05          666.11
1971-1979       68               247.07          452.07          699.14
1971-1979       69               283.09          444.06          727.15
1971-1979       70               298.05          506.07          804.12
1971-1979       71               307.07          434.04          741.11
1971-1979       72               312.07          471.06          783.13
1971-1979       73               339.08          456.06          795.14
1971-1979       74               365.07          463.06          828.13
1971-1979       75               358.09          437.06          795.15
1971-1979       76               369.09          443.07          812.16
1971-1979       77               385.11          405.04          790.15
1971-1979       78               420.09          386.06          806.15
1971-1979       79               385.10          379.05          764.15
1971-1979       80               407.07          345.03          752.10
1971-1979       81               428.10          314.04          742.14
1971-1979       82               469.10          326.04          795.14
1971-1979       83               409.11          317.03          726.14
1971-1979       84               408.09          255.03          663.12
1971-1979       85               408.08          269.03          677.11
1971-1979       86               418.08          230.02          648.10
1971-1979       87               359.06          199.02          558.08
1971-1979       88               297.07          189.03          486.10
1971-1979       89               233.06          143.02          376.08
1971-1979       90               239.05          135.02          374.07
1971-1979       91               179.06          112.01          291.07
1971-1979       92               138.04           60.01          198.05
1971-1979       93               106.02           54.00          160.02
1971-1979       94               104.03           35.00          139.03
1971-1979       95                62.01           25.00           87.01
1971-1979       96                53.02           20.00           73.02
1971-1979       97                41.01           13.00           54.01
1971-1979       98                21.00           14.00           35.00
1971-1979       99                20.01           11.00           31.01
1971-1979      100                16.61            9.66           26.27
1971-1979      101                 9.02            3.11           12.13
1971-1979      102                 5.01            0.22            5.23
1971-1979      103                 1.51            0.00            1.51
1971-1979      104                 0.82            0.00            0.82
1971-1979      105                 0.00            0.00            0.00
1971-1979      106                 0.00            0.00            0.00
1971-1979      107                 0.00            0.00            0.00
1971-1979      108                 0.00            0.00            0.00
1971-1979      109                 0.00            0.00            0.00
1971-1979      110+                0.00            0.00            0.00
1980-1989        0               310.09          466.05          776.14
1980-1989        1                38.01           38.00           76.01
1980-1989        2                11.00           20.01           31.01
1980-1989        3                18.01           17.00           35.01
1980-1989        4                11.00           13.00           24.00
1980-1989        5                11.00           22.01           33.01
1980-1989        6                 5.00           16.00           21.00
1980-1989        7                11.00           10.00           21.00
1980-1989        8                 8.00           12.00           20.00
1980-1989        9                 8.01           13.00           21.01
1980-1989       10                 2.00           19.01           21.01
1980-1989       11                12.01           16.00           28.01
1980-1989       12                18.00           22.00           40.00
1980-1989       13                14.01           15.00           29.01
1980-1989       14                14.00           23.00           37.00
1980-1989       15                11.00           29.01           40.01
1980-1989       16                21.00           34.01           55.01
1980-1989       17                15.00           42.00           57.00
1980-1989       18                24.00           68.01           92.01
1980-1989       19                19.00           86.01          105.01
1980-1989       20                26.01           60.01           86.02
