TAS, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        74.98    68.22    71.46
  1972        75.23    68.52    71.74
  1973        74.93    68.27    71.44
  1974        74.55    67.90    71.10
  1975        75.19    68.54    71.76
  1976        75.28    69.27    72.20
  1977        76.78    69.06    72.74
  1978        76.09    69.73    72.81
  1979        77.48    69.93    73.57
  1980        77.27    69.95    73.45
  1981        77.50    70.03    73.62
  1982        77.22    71.15    74.12
  1983        78.31    71.56    74.86
  1984        77.46    70.80    74.04
  1985        77.36    70.83    74.02
  1986        78.15    72.54    75.32
  1987        78.17    72.12    75.09
  1988        78.70    72.60    75.61
  1989        78.09    72.97    75.51
  1990        78.99    72.66    75.75
  1991        79.42    73.13    76.23
  1992        78.92    74.16    76.55
  1993        80.11    73.91    76.98
  1994        79.52    73.32    76.36
  1995        80.00    74.68    77.35
  1996        79.93    74.65    77.29
  1997        80.00    75.09    77.57
  1998        81.39    75.67    78.53
  1999        80.39    75.67    78.07
  2000        81.28    76.33    78.83
  2001        80.91    76.31    78.66
  2002        81.05    75.93    78.49
  2003        81.58    76.29    78.94
  2004        82.06    77.11    79.60
  2005        82.15    77.68    79.94
  2006        82.16    77.56    79.87
  2007        81.53    77.53    79.53
  2008        82.09    78.16    80.15
  2009        82.03    77.98    80.01
  2010        82.02    78.35    80.20
  2011        82.62    78.77    80.70
  2012        82.50    78.86    80.69
  2013        82.61    78.47    80.53
  2014        82.33    78.79    80.58
  2015        82.56    78.94    80.75
  2016        82.74    78.91    80.81
  2017        82.61    79.15    80.88
  2018        84.14    80.61    82.38
  2019        83.91    79.92    81.90
  2020        84.85    80.75    82.78
