TAS, Exposure to risk (period 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             15054.31        15459.57        30513.88
1971-1974      1-4             62681.40        64944.57       127625.97
1971-1974      5-9             76747.64        80253.77       157001.41
1971-1974     10-14            83064.51        86860.63       169925.13
1971-1974     15-19            74293.24        75739.88       150033.12
1971-1974     20-24            64307.59        65852.92       130160.51
1971-1974     25-29            58118.75        61024.26       119143.01
1971-1974     30-34            47976.83        50950.87        98927.70
1971-1974     35-39            43520.52        45202.25        88722.77
1971-1974     40-44            43046.78        45432.45        88479.23
1971-1974     45-49            44500.63        46638.16        91138.79
1971-1974     50-54            42757.58        42595.00        85352.57
1971-1974     55-59            38007.92        37616.53        75624.45
1971-1974     60-64            33252.20        32462.75        65714.95
1971-1974     65-69            25995.84        24129.97        50125.81
1971-1974     70-74            20310.84        15993.19        36304.03
1971-1974     75-79            14917.22         9177.05        24094.28
1971-1974     80-84             9940.35         5425.24        15365.59
1971-1974     85-89             4289.09         2269.25         6558.34
1971-1974     90-94             1230.06          541.03         1771.09
1971-1974     95-99              242.73          117.69          360.42
1971-1974    100-104              21.12            4.15           25.26
1971-1974    105-109               0.00            0.00            0.00
1971-1974    110+                  0.00            0.00            0.00
1975-1979        0             16563.99        17242.88        33806.87
1975-1979      1-4             70572.54        73223.06       143795.59
1975-1979      5-9             97610.30       101026.97       198637.27
1975-1979     10-14            96309.50       100362.67       196672.16
1975-1979     15-19            98649.64       101304.83       199954.47
1975-1979     20-24            86406.77        87868.14       174274.91
1975-1979     25-29            81450.89        83886.21       165337.10
1975-1979     30-34            71701.96        75356.11       147058.07
1975-1979     35-39            59356.85        62447.20       121804.06
1975-1979     40-44            52352.43        54503.97       106856.40
1975-1979     45-49            52149.13        54829.85       106978.98
1975-1979     50-54            53974.04        55399.11       109373.15
1975-1979     55-59            50898.10        48967.61        99865.71
1975-1979     60-64            45080.85        42764.64        87845.49
1975-1979     65-69            37806.66        34796.44        72603.09
1975-1979     70-74            28353.34        23360.62        51713.96
1975-1979     75-79            20457.32        13554.11        34011.43
1975-1979     80-84            13440.59         6586.06        20026.65
1975-1979     85-89             6658.84         2982.28         9641.11
1975-1979     90-94             1942.07          798.44         2740.52
1975-1979     95-99              356.34          167.26          523.60
1975-1979    100-104              20.66            5.01           25.67
1975-1979    105-109               0.00            0.00            0.00
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0             17269.72        17870.59        35140.32
1980-1984      1-4             67395.10        70007.53       137402.64
1980-1984      5-9             87180.13        90816.24       177996.36
