PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
TAS,6,f,0,1,O,30,6,1971,3,O,4041,.,.,.,1
TAS,6,f,1,1,O,30,6,1971,3,O,3809,.,.,.,1
TAS,6,f,2,1,O,30,6,1971,3,O,4104,.,.,.,1
TAS,6,f,3,1,O,30,6,1971,3,O,3830,.,.,.,1
TAS,6,f,4,1,O,30,6,1971,3,O,3717,.,.,.,1
TAS,6,f,5,1,O,30,6,1971,3,O,3733,.,.,.,1
TAS,6,f,6,1,O,30,6,1971,3,O,3817,.,.,.,1
TAS,6,f,7,1,O,30,6,1971,3,O,4099,.,.,.,1
TAS,6,f,8,1,O,30,6,1971,3,O,4095,.,.,.,1
TAS,6,f,9,1,O,30,6,1971,3,O,4226,.,.,.,1
TAS,6,f,10,1,O,30,6,1971,3,O,4391,.,.,.,1
TAS,6,f,11,1,O,30,6,1971,3,O,4168,.,.,.,1
TAS,6,f,12,1,O,30,6,1971,3,O,4198,.,.,.,1
TAS,6,f,13,1,O,30,6,1971,3,O,3954,.,.,.,1
TAS,6,f,14,1,O,30,6,1971,3,O,3899,.,.,.,1
TAS,6,f,15,1,O,30,6,1971,3,O,4006,.,.,.,1
TAS,6,f,16,1,O,30,6,1971,3,O,3762,.,.,.,1
TAS,6,f,17,1,O,30,6,1971,3,O,3629,.,.,.,1
TAS,6,f,18,1,O,30,6,1971,3,O,3490,.,.,.,1
TAS,6,f,19,1,O,30,6,1971,3,O,3202,.,.,.,1
TAS,6,f,20,1,O,30,6,1971,3,O,3196,.,.,.,1
TAS,6,f,21,1,O,30,6,1971,3,O,3222,.,.,.,1
TAS,6,f,22,1,O,30,6,1971,3,O,3180,.,.,.,1
TAS,6,f,23,1,O,30,6,1971,3,O,3196,.,.,.,1
TAS,6,f,24,1,O,30,6,1971,3,O,3422,.,.,.,1
TAS,6,f,25,1,O,30,6,1971,3,O,2798,.,.,.,1
TAS,6,f,26,1,O,30,6,1971,3,O,2797,.,.,.,1
TAS,6,f,27,1,O,30,6,1971,3,O,2601,.,.,.,1
