VIC, Exposure to risk (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0            134172.99       140505.43       274678.42
1971-1974        1            138759.77       144293.64       283053.41
1971-1974        2            140854.34       146006.00       286860.34
1971-1974        3            141575.89       146751.93       288327.81
1971-1974        4            138824.56       144578.35       283402.91
1971-1974        5            136184.22       142502.45       278686.67
1971-1974        6            133580.45       139674.62       273255.06
1971-1974        7            132344.53       138533.04       270877.57
1971-1974        8            132572.59       139330.70       271903.29
1971-1974        9            133997.35       141467.42       275464.77
1971-1974       10            135066.24       142888.80       277955.04
1971-1974       11            136116.61       143689.25       279805.86
1971-1974       12            135276.49       142517.49       277793.98
1971-1974       13            134465.95       141889.56       276355.51
1971-1974       14            132464.09       139708.47       272172.56
1971-1974       15            130430.54       137077.38       267507.92
1971-1974       16            128057.47       134315.69       262373.16
1971-1974       17            126250.94       131321.58       257572.53
1971-1974       18            124813.70       129297.32       254111.03
1971-1974       19            124819.25       128320.45       253139.70
1971-1974       20            123988.74       126608.44       250597.18
1971-1974       21            123560.71       125617.90       249178.61
1971-1974       22            123573.80       124827.50       248401.30
1971-1974       23            123752.74       124281.54       248034.29
1971-1974       24            123894.13       123787.24       247681.37
1971-1974       25            125179.30       125315.44       250494.75
1971-1974       26            121835.17       123507.87       245343.04
1971-1974       27            116465.95       120149.58       236615.53
1971-1974       28            108846.39       113858.28       222704.67
1971-1974       29            101856.84       107360.31       209217.15
1971-1974       30             98391.14       103792.09       202183.23
1971-1974       31             95464.66       101381.65       196846.31
1971-1974       32             92330.69        98650.60       190981.29
1971-1974       33             90412.14        96257.25       186669.38
1971-1974       34             88758.51        93951.90       182710.41
1971-1974       35             87241.22        91561.56       178802.78
1971-1974       36             86418.08        90300.73       176718.81
1971-1974       37             84753.44        88583.83       173337.27
1971-1974       38             82500.51        86606.29       169106.80
1971-1974       39             81170.04        85613.81       166783.85
1971-1974       40             80143.95        85436.07       165580.01
1971-1974       41             82471.82        87947.66       170419.48
1971-1974       42             83224.80        89222.08       172446.88
1971-1974       43             85060.15        90822.96       175883.10
1971-1974       44             86356.57        92248.17       178604.74
1971-1974       45             86493.37        91841.06       178334.43
1971-1974       46             87388.49        92618.18       180006.66
1971-1974       47             87707.44        91696.59       179404.03
1971-1974       48             87212.91        90762.55       177975.46
1971-1974       49             86336.39        88526.30       174862.69
1971-1974       50             84489.15        86181.74       170670.89
1971-1974       51             83618.42        84546.87       168165.29
1971-1974       52             80077.49        80685.72       160763.21
1971-1974       53             75755.71        75783.60       151539.31
1971-1974       54             71648.02        70725.41       142373.43
1971-1974       55             68929.90        67510.95       136440.85
1971-1974       56             68046.20        66251.99       134298.18
1971-1974       57             68724.46        66534.33       135258.79
1971-1974       58             68759.41        66107.10       134866.51
1971-1974       59             68107.82        65051.36       133159.17
1971-1974       60             66283.25        62961.55       129244.80
1971-1974       61             65185.59        60855.60       126041.18
1971-1974       62             62318.07        57618.36       119936.43
1971-1974       63             59978.53        54799.63       114778.17
1971-1974       64             57443.77        51854.94       109298.72
1971-1974       65             54927.76        49241.93       104169.70
1971-1974       66             53125.37        47069.54       100194.91
1971-1974       67             50770.17        44396.60        95166.76
1971-1974       68             48235.32        41500.40        89735.72
1971-1974       69             46269.42        38611.11        84880.52
1971-1974       70             44155.95        35858.77        80014.72
1971-1974       71             43124.52        33321.00        76445.52
1971-1974       72             41608.59        30671.33        72279.92
1971-1974       73             39264.66        27670.45        66935.11
1971-1974       74             36702.62        24691.37        61393.99
1971-1974       75             33808.52        21572.66        55381.17
1971-1974       76             31593.09        19066.67        50659.76
1971-1974       77             30030.85        17310.37        47341.22
1971-1974       78             27904.26        15637.70        43541.96
1971-1974       79             25825.24        13979.91        39805.15
1971-1974       80             24044.74        12601.38        36646.12
1971-1974       81             21887.99        11217.88        33105.87
1971-1974       82             19598.22         9780.96        29379.17
1971-1974       83             17117.93         8292.07        25410.00
1971-1974       84             14519.20         6866.67        21385.87
1971-1974       85             11990.31         5563.45        17553.76
1971-1974       86              9869.76         4440.47        14310.22
1971-1974       87              8130.94         3442.38        11573.32
1971-1974       88              6619.34         2596.20         9215.54
1971-1974       89              5301.38         1951.61         7252.99
1971-1974       90              4207.53         1455.41         5662.94
1971-1974       91              3269.82         1055.26         4325.07
1971-1974       92              2444.72          761.52         3206.25
1971-1974       93              1755.53          541.23         2296.77
1971-1974       94              1210.39          383.98         1594.37
1971-1974       95               827.59          277.22         1104.80
1971-1974       96               565.04          187.00          752.04
1971-1974       97               370.06          114.60          484.66
1971-1974       98               237.92           67.07          304.99
1971-1974       99               143.11           41.33          184.44
1971-1974      100                77.86           25.02          102.88
1971-1974      101                44.70           14.23           58.93
1971-1974      102                24.66            7.21           31.87
1971-1974      103                12.03            2.56           14.59
1971-1974      104                 4.64            0.35            4.99
1971-1974      105                 0.90            0.00            0.90
