VIC, Death rates (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.011630        0.014424        0.013062
1971-1979        1             0.000776        0.001023        0.000902
1971-1979        2             0.000571        0.000838        0.000707
1971-1979        3             0.000431        0.000561        0.000497
1971-1979        4             0.000375        0.000533        0.000456
1971-1979        5             0.000312        0.000409        0.000362
1971-1979        6             0.000334        0.000455        0.000395
1971-1979        7             0.000266        0.000417        0.000343
1971-1979        8             0.000221        0.000302        0.000262
1971-1979        9             0.000213        0.000332        0.000274
1971-1979       10             0.000185        0.000311        0.000250
1971-1979       11             0.000172        0.000315        0.000245
1971-1979       12             0.000213        0.000319        0.000267
1971-1979       13             0.000253        0.000400        0.000328
1971-1979       14             0.000236        0.000491        0.000367
1971-1979       15             0.000350        0.000601        0.000479
1971-1979       16             0.000416        0.000839        0.000633
1971-1979       17             0.000487        0.001130        0.000816
1971-1979       18             0.000564        0.001933        0.001262
1971-1979       19             0.000657        0.002002        0.001340
1971-1979       20             0.000517        0.001803        0.001168
1971-1979       21             0.000476        0.001714        0.001101
1971-1979       22             0.000441        0.001665        0.001056
1971-1979       23             0.000491        0.001478        0.000987
1971-1979       24             0.000585        0.001450        0.001018
1971-1979       25             0.000484        0.001156        0.000820
1971-1979       26             0.000576        0.001089        0.000833
1971-1979       27             0.000398        0.001222        0.000812
1971-1979       28             0.000456        0.001117        0.000789
1971-1979       29             0.000598        0.001148        0.000877
1971-1979       30             0.000567        0.001070        0.000823
1971-1979       31             0.000636        0.001250        0.000949
1971-1979       32             0.000712        0.001177        0.000950
1971-1979       33             0.000758        0.001187        0.000978
1971-1979       34             0.000747        0.001339        0.001050
1971-1979       35             0.000783        0.001435        0.001117
1971-1979       36             0.000827        0.001509        0.001176
1971-1979       37             0.000932        0.001777        0.001364
1971-1979       38             0.001073        0.002016        0.001555
1971-1979       39             0.001266        0.002169        0.001728
1971-1979       40             0.001295        0.002156        0.001737
1971-1979       41             0.001468        0.002435        0.001964
1971-1979       42             0.001856        0.002997        0.002442
1971-1979       43             0.001977        0.003436        0.002727
1971-1979       44             0.002057        0.004027        0.003071
1971-1979       45             0.002397        0.004224        0.003337
1971-1979       46             0.002660        0.004820        0.003770
1971-1979       47             0.003149        0.005182        0.004191
1971-1979       48             0.003179        0.005935        0.004590
1971-1979       49             0.003603        0.006813        0.005241
1971-1979       50             0.003770        0.007267        0.005550
1971-1979       51             0.004189        0.007463        0.005849
1971-1979       52             0.005006        0.009358        0.007204
1971-1979       53             0.005017        0.009753        0.007396
1971-1979       54             0.005442        0.010979        0.008209
1971-1979       55             0.006117        0.011458        0.008775
1971-1979       56             0.006642        0.013006        0.009791
1971-1979       57             0.007232        0.014364        0.010744
1971-1979       58             0.008081        0.016564        0.012238
1971-1979       59             0.008462        0.018276        0.013247
