VIC, Population size (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             35101.91        36287.94        71389.85
  1971         1-4            135403.49       141566.08       276969.57
  1971         5-9            167815.02       176872.30       344687.32
  1971        10-14           164051.86       172136.46       336188.32
  1971        15-19           152398.49       157710.51       310109.00
  1971        20-24           153146.24       154346.07       307492.31
  1971        25-29           125632.43       131697.91       257330.34
  1971        30-34           109183.09       115967.03       225150.12
  1971        35-39           102634.68       108141.73       210776.41
  1971        40-44           108250.58       116026.02       224276.60
  1971        45-49           109060.42       112047.41       221107.83
  1971        50-54            90085.96        89699.41       179785.37
  1971        55-59            85687.79        83431.94       169119.73
  1971        60-64            73090.27        67684.31       140774.58
  1971        65-69            59464.94        52132.18       111597.12
  1971        70-74            48503.75        34556.74        83060.49
  1971        75-79            36477.48        21841.12        58318.60
  1971        80-84            22810.95        12033.35        34844.30
  1971        85-89             9783.30         4230.56        14013.86
  1971        90-94             2920.91         1028.76         3949.67
  1971        95-99              487.23          166.47          653.70
  1971       100-104              31.64           11.12           42.76
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0             35819.00        37283.00        73102.00
  1972         1-4            139720.00       145185.00       284905.00
  1972         5-9            166297.00       174993.00       341290.00
  1972        10-14           167832.00       176310.00       344142.00
  1972        15-19           156445.00       162533.00       318978.00
  1972        20-24           152873.00       153820.00       306693.00
  1972        25-29           137946.00       142944.00       280890.00
  1972        30-34           113460.00       120807.00       234267.00
  1972        35-39           103163.00       108409.00       211572.00
  1972        40-44           106558.00       114180.00       220738.00
  1972        45-49           108949.00       112891.00       221840.00
  1972        50-54            95579.00        95844.00       191423.00
  1972        55-59            86249.00        83811.00       170060.00
  1972        60-64            75964.00        70114.00       146078.00
  1972        65-69            61525.00        54026.00       115551.00
  1972        70-74            50036.00        36617.00        86653.00
  1972        75-79            37065.00        21647.00        58712.00
  1972        80-84            23755.51        12188.50        35944.01
  1972        85-89            10003.40         4270.54        14273.94
  1972        90-94             3090.55         1034.24         4124.79
  1972        95-99              510.81          176.77          687.58
  1972       100-104              37.58           12.82           50.40
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0             33274.00        35008.00        68282.00
  1973         1-4            142299.00       147519.00       289818.00
  1973         5-9            165899.00       174229.00       340128.00
  1973        10-14           169331.00       178687.00       348018.00
  1973        15-19           158387.00       164703.00       323090.00
  1973        20-24           153925.00       155906.00       309831.00
  1973        25-29           145693.00       149205.00       294898.00
  1973        30-34           115627.00       123365.00       238992.00
  1973        35-39           105020.00       109970.00       214990.00
  1973        40-44           104236.00       111295.00       215531.00
  1973        45-49           108955.00       114485.00       223440.00
  1973        50-54            99400.00        99710.00       199110.00
  1973        55-59            85915.00        82855.00       168770.00
  1973        60-64            77516.00        72207.00       149723.00
  1973        65-69            63527.00        55306.00       118833.00
  1973        70-74            51303.00        38178.00        89481.00
  1973        75-79            37124.00        21622.00        58746.00
  1973        80-84            24492.26        12268.81        36761.07
  1973        85-89            10464.44         4488.60        14953.04
  1973        90-94             3222.57         1033.89         4256.46
  1973        95-99              548.99          170.84          719.83
  1973       100-104              42.36           15.13           57.49
  1973       105-109               0.29            0.00            0.29
  1973       110+                  0.00            0.00            0.00
  1974           0             31985.00        33750.00        65735.00
  1974         1-4            140998.00       146229.00       287227.00
  1974         5-9            167890.00       175406.00       343296.00
  1974        10-14           169650.00       179831.00       349481.00
  1974        15-19           161736.00       168622.00       330358.00
  1974        20-24           156638.00       158838.00       315476.00
  1974        25-29           150059.00       153580.00       303639.00
  1974        30-34           120094.00       126853.00       246947.00
  1974        35-39           107353.00       112482.00       219835.00
  1974        40-44           102281.00       109009.00       211290.00
  1974        45-49           108634.00       114600.00       223234.00
  1974        50-54           103368.00       104529.00       207897.00
  1974        55-59            84531.00        81498.00       166029.00
  1974        60-64            80198.00        74258.00       154456.00
  1974        65-69            65135.00        56491.00       121626.00
  1974        70-74            52922.00        39928.00        92850.00
  1974        75-79            37229.00        21782.00        59011.00
  1974        80-84            24933.75        12208.64        37142.39
  1974        85-89            10829.23         4686.54        15515.77
  1974        90-94             3377.01         1052.31         4429.32
  1974        95-99              538.52          163.99          702.51
  1974       100-104              43.33           10.71           54.04
  1974       105-109               0.36            0.00            0.36
  1974       110+                  0.00            0.00            0.00
  1975           0             30666.00        32111.00        62777.00
  1975         1-4            138583.00       143817.00       282400.00
  1975         5-9            169368.00       176883.00       346251.00
  1975        10-14           169100.00       179592.00       348692.00
  1975        15-19           163207.00       171234.00       334441.00
  1975        20-24           157518.00       158752.00       316270.00
  1975        25-29           155334.00       157211.00       312545.00
  1975        30-34           123164.00       130037.00       253201.00
  1975        35-39           110456.00       115460.00       225916.00
  1975        40-44           100111.00       106358.00       206469.00
  1975        45-49           108130.00       114882.00       223012.00
  1975        50-54           104378.00       105958.00       210336.00
  1975        55-59            86044.00        83137.00       169181.00
  1975        60-64            81951.00        75307.00       157258.00
  1975        65-69            66810.00        57847.00       124657.00
  1975        70-74            52689.00        40420.00        93109.00
  1975        75-79            39030.00        23203.00        62233.00
  1975        80-84            25184.11        12158.66        37342.77
  1975        85-89            11441.66         4855.21        16296.87
  1975        90-94             3456.79         1114.98         4571.77
  1975        95-99              594.18          180.18          774.36
  1975       100-104              46.19            9.11           55.30
  1975       105-109               0.34            0.00            0.34
  1975       110+                  0.00            0.00            0.00
  1976           0             29420.00        31081.00        60501.00
  1976         1-4            131964.00       137731.00       269695.00
  1976         5-9            173543.00       180487.00       354030.00
  1976        10-14           166716.00       176507.00       343223.00
  1976        15-19           165863.00       174413.00       340276.00
  1976        20-24           157787.00       159200.00       316987.00
  1976        25-29           158471.00       158480.00       316951.00
  1976        30-34           126951.00       133484.00       260435.00
  1976        35-39           111128.00       117075.00       228203.00
  1976        40-44            99868.00       105308.00       205176.00
  1976        45-49           106538.00       112903.00       219441.00
  1976        50-54           105648.00       107733.00       213381.00
  1976        55-59            88212.00        86552.00       174764.00
  1976        60-64            82819.00        75489.00       158308.00
  1976        65-69            68573.00        59569.00       128142.00
  1976        70-74            53703.00        41302.00        95005.00
  1976        75-79            40619.00        24582.00        65201.00
  1976        80-84            25608.61        12176.73        37785.34
  1976        85-89            12171.44         5006.21        17177.65
  1976        90-94             3623.45         1177.88         4801.33
  1976        95-99              665.40          182.01          847.41
  1976       100-104              51.97            8.64           60.61
  1976       105-109               0.32            0.00            0.32
  1976       110+                  0.00            0.00            0.00
  1977           0             28752.00        30257.00        59009.00
  1977         1-4            125555.00       131604.00       257159.00
  1977         5-9            176622.00       183409.00       360031.00
  1977        10-14           165659.00       174244.00       339903.00
  1977        15-19           168673.00       177121.00       345794.00
  1977        20-24           159174.00       161461.00       320635.00
  1977        25-29           157020.00       155962.00       312982.00
  1977        30-34           136544.00       143174.00       279718.00
  1977        35-39           113319.00       118223.00       231542.00
  1977        40-44           101099.00       106200.00       207299.00
  1977        45-49           103867.00       110086.00       213953.00
  1977        50-54           105625.00       108203.00       213828.00
  1977        55-59            91311.00        89001.00       180312.00
  1977        60-64            82552.00        75719.00       158271.00
  1977        65-69            70637.00        60580.00       131217.00
  1977        70-74            54679.00        42567.00        97246.00
  1977        75-79            41253.00        25351.00        66604.00
  1977        80-84            25819.22        12143.45        37962.67
  1977        85-89            12658.40         5067.02        17725.42
  1977        90-94             3738.40         1197.58         4935.98
  1977        95-99              678.28          186.41          864.69
  1977       100-104              57.00           14.06           71.06
  1977       105-109               0.76            0.00            0.76
  1977       110+                  0.00            0.00            0.00
  1978           0             28427.00        30278.00        58705.00
  1978         1-4            120921.00       126920.00       247841.00
  1978         5-9            176461.00       182860.00       359321.00
  1978        10-14           165452.00       173381.00       338833.00
  1978        15-19           170340.00       178195.00       348535.00
  1978        20-24           160760.00       163712.00       324472.00
  1978        25-29           157341.00       156869.00       314210.00
  1978        30-34           145250.00       149158.00       294408.00
  1978        35-39           114431.00       120374.00       234805.00
  1978        40-44           103077.00       106927.00       210004.00
  1978        45-49           101563.00       107257.00       208820.00
  1978        50-54           105200.00       108861.00       214061.00
  1978        55-59            95117.00        92162.00       187279.00
  1978        60-64            81798.00        74754.00       156552.00
  1978        65-69            72147.00        61964.00       134111.00
  1978        70-74            56367.00        43790.00       100157.00
  1978        75-79            41813.00        26407.00        68220.00
  1978        80-84            26195.03        12270.01        38465.04
  1978        85-89            13210.82         5137.43        18348.25
  1978        90-94             4000.26         1323.02         5323.28
  1978        95-99              729.66          182.16          911.82
  1978       100-104              57.75           11.20           68.95
  1978       105-109               0.64            0.00            0.64
  1978       110+                  0.00            0.00            0.00
  1979           0             28048.00        29409.00        57457.00
  1979         1-4            117177.00       123089.00       240266.00
  1979         5-9            172922.00       179279.00       352201.00
  1979        10-14           167022.00       174429.00       341451.00
  1979        15-19           170908.00       178430.00       349338.00
  1979        20-24           163758.00       167540.00       331298.00
  1979        25-29           158382.00       158120.00       316502.00
  1979        30-34           150013.00       153020.00       303033.00
  1979        35-39           118276.00       123276.00       241552.00
  1979        40-44           104491.00       108030.00       212521.00
  1979        45-49            99448.00       104858.00       204306.00
  1979        50-54           104489.00       108412.00       212901.00
  1979        55-59            98879.00        96156.00       195035.00
  1979        60-64            80117.00        73113.00       153230.00
  1979        65-69            74518.00        63576.00       138094.00
  1979        70-74            57598.00        44740.00       102338.00
  1979        75-79            42641.00        27479.00        70120.00
  1979        80-84            26556.27        12439.26        38995.53
  1979        85-89            13726.77         5232.64        18959.41
  1979        90-94             4281.87         1398.71         5680.58
  1979        95-99              813.44          192.08         1005.52
  1979       100-104              60.95           11.99           72.94
  1979       105-109               0.29            0.00            0.29
  1979       110+                  0.00            0.00            0.00
  1980           0             27992.00        29337.00        57329.00
  1980         1-4            115140.00       121337.00       236477.00
  1980         5-9            169348.00       175343.00       344691.00
  1980        10-14           169223.00       176250.00       345473.00
  1980        15-19           170566.00       177932.00       348498.00
  1980        20-24           166353.00       170068.00       336421.00
