VIC, Exposure to risk (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1891-1894        0                    .               .               .
1891-1894        1                    .               .               .
1891-1894        2                    .               .               .
1891-1894        3                    .               .               .
1891-1894        4                    .               .               .
1891-1894        5                    .               .               .
1891-1894        6                    .               .               .
1891-1894        7                    .               .               .
1891-1894        8                    .               .               .
1891-1894        9                    .               .               .
1891-1894       10                    .               .               .
1891-1894       11                    .               .               .
1891-1894       12                    .               .               .
1891-1894       13                    .               .               .
1891-1894       14                    .               .               .
1891-1894       15                    .               .               .
1891-1894       16                    .               .               .
1891-1894       17                    .               .               .
1891-1894       18                    .               .               .
1891-1894       19                    .               .               .
1891-1894       20                    .               .               .
1891-1894       21                    .               .               .
1891-1894       22                    .               .               .
1891-1894       23                    .               .               .
1891-1894       24                    .               .               .
1891-1894       25                    .               .               .
1891-1894       26                    .               .               .
1891-1894       27                    .               .               .
1891-1894       28                    .               .               .
1891-1894       29                    .               .               .
1891-1894       30                    .               .               .
1891-1894       31                    .               .               .
1891-1894       32                    .               .               .
1891-1894       33                    .               .               .
1891-1894       34                    .               .               .
1891-1894       35                    .               .               .
1891-1894       36                    .               .               .
1891-1894       37                    .               .               .
1891-1894       38                    .               .               .
1891-1894       39                    .               .               .
1891-1894       40                    .               .               .
1891-1894       41                    .               .               .
1891-1894       42                    .               .               .
1891-1894       43                    .               .               .
1891-1894       44                    .               .               .
1891-1894       45                    .               .               .
1891-1894       46                    .               .               .
1891-1894       47                    .               .               .
1891-1894       48                    .               .               .
1891-1894       49                    .               .               .
1891-1894       50                    .               .               .
1891-1894       51                    .               .               .
1891-1894       52                    .               .               .
1891-1894       53                    .               .               .
1891-1894       54                    .               .               .
1891-1894       55                    .               .               .
1891-1894       56                    .               .               .
1891-1894       57                    .               .               .
1891-1894       58                    .               .               .
1891-1894       59                    .               .               .
1891-1894       60                    .               .               .
1891-1894       61                    .               .               .
1891-1894       62                    .               .               .
1891-1894       63                    .               .               .
1891-1894       64                    .               .               .
1891-1894       65                    .               .               .
1891-1894       66                    .               .               .
1891-1894       67                    .               .               .
1891-1894       68                    .               .               .
1891-1894       69                    .               .               .
1891-1894       70                    .               .               .
1891-1894       71                    .               .               .
1891-1894       72                    .               .               .
1891-1894       73                    .               .               .
1891-1894       74                    .               .               .
1891-1894       75                    .               .               .
1891-1894       76                    .               .               .
1891-1894       77                    .               .               .
1891-1894       78             13643.56         7774.63        21418.19
1891-1894       79             19196.02        10428.71        29624.73
1891-1894       80             24148.40        12535.17        36683.57
1891-1894       81             22245.86        11086.30        33332.16
1891-1894       82             20330.29         9700.43        30030.72
1891-1894       83             18390.15         8332.94        26723.08
1891-1894       84             16498.43         7076.68        23575.11
1891-1894       85             14677.61         5972.25        20649.87
1891-1894       86             12949.07         5010.01        17959.08
1891-1894       87             11316.51         4166.69        15483.20
1891-1894       88              9839.94         3435.73        13275.67
1891-1894       89              8429.44         2789.44        11218.88
1891-1894       90              7077.36         2216.76         9294.12
1891-1894       91              5845.31         1747.31         7592.61
1891-1894       92              4752.51         1353.72         6106.23
1891-1894       93              3779.00         1014.81         4793.81
1891-1894       94              2926.01          739.27         3665.29
1891-1894       95              2209.27          529.31         2738.58
1891-1894       96              1664.90          377.94         2042.84
1891-1894       97              1256.87          265.50         1522.37
1891-1894       98               923.34          181.12         1104.46
1891-1894       99               648.32          117.31          765.63
1891-1894      100               443.22           73.30          516.52
1891-1894      101               290.71           45.01          335.73
1891-1894      102               181.93           25.26          207.19
1891-1894      103               107.76           12.39          120.14
1891-1894      104                61.04            5.25           66.29
1891-1894      105                33.57            1.68           35.25
1891-1894      106                17.45            0.32           17.76
1891-1894      107                 8.13            0.00            8.13
1891-1894      108                 2.74            0.00            2.74
1891-1894      109                 0.31            0.00            0.31
1891-1894      110+                0.00            0.00            0.00
1895-1899        0                    .               .               .
1895-1899        1                    .               .               .
1895-1899        2                    .               .               .
1895-1899        3                    .               .               .
1895-1899        4                    .               .               .
1895-1899        5                    .               .               .
1895-1899        6                    .               .               .
1895-1899        7                    .               .               .
1895-1899        8                    .               .               .
1895-1899        9                    .               .               .
1895-1899       10                    .               .               .
1895-1899       11                    .               .               .
