VIC, Life tables (period 5x10), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01163  0.01151  0.13  100000    1151   98993  7661623  76.62
1971-1979      1-4      0.00054  0.00215  1.69   98849     213  394903  7562630  76.51
1971-1979      5-9      0.00027  0.00134  2.27   98636     133  492819  7167727  72.67
1971-1979     10-14     0.00021  0.00106  2.67   98504     104  492275  6674908  67.76
1971-1979     15-19     0.00049  0.00247  2.81   98399     243  491463  6182633  62.83
1971-1979     20-24     0.00050  0.00251  2.56   98156     246  490180  5691170  57.98
1971-1979     25-29     0.00050  0.00251  2.54   97910     246  488947  5200989  53.12
1971-1979     30-34     0.00068  0.00341  2.64   97664     333  487535  4712043  48.25
1971-1979     35-39     0.00098  0.00487  2.75   97331     474  485587  4224508  43.40
1971-1979     40-44     0.00173  0.00862  2.73   96857     835  482393  3738921  38.60
1971-1979     45-49     0.00300  0.01488  2.69   96023    1428  476813  3256528  33.91
1971-1979     50-54     0.00468  0.02315  2.67   94594    2190  467866  2779715  29.39
1971-1979     55-59     0.00730  0.03588  2.65   92404    3315  454242  2311849  25.02
1971-1979     60-64     0.01141  0.05558  2.66   89089    4952  433838  1857607  20.85
1971-1979     65-69     0.01822  0.08733  2.65   84137    7348  403398  1423770  16.92
1971-1979     70-74     0.03069  0.14324  2.68   76789   10999  358447  1020372  13.29
1971-1979     75-79     0.05367  0.23791  2.62   65790   15652  291628   661925  10.06
1971-1979     80-84     0.09242  0.37708  2.56   50138   18906  204569   370297   7.39
1971-1979     85-89     0.15327  0.54571  2.36   31232   17043  111197   165728   5.31
1971-1979     90-94     0.23197  0.70511  2.22   14188   10004   43128    54531   3.84
1971-1979     95-99     0.35068  0.84550  1.94    4184    3538   10088    11403   2.73
1971-1979    100-104    0.48320  0.92619  1.67     646     599    1239     1316   2.04
1971-1979    105-109    0.61904  0.96545  1.44      48      46      74       77   1.61
1971-1979    110+       0.72379  1.00000  1.38       2       2       2        2   1.38
1980-1989        0      0.00779  0.00774  0.13  100000     774   99329  7910288  79.10
1980-1989      1-4      0.00036  0.00144  1.79   99226     143  396589  7810959  78.72
1980-1989      5-9      0.00017  0.00087  2.42   99083      86  495193  7414371  74.83
1980-1989     10-14     0.00015  0.00075  2.64   98997      74  494810  6919178  69.89
1980-1989     15-19     0.00038  0.00188  2.79   98923     186  494203  6424368  64.94
1980-1989     20-24     0.00049  0.00247  2.52   98737     243  493082  5930164  60.06
1980-1989     25-29     0.00047  0.00237  2.59   98493     233  491905  5437083  55.20
1980-1989     30-34     0.00055  0.00277  2.58   98260     272  490646  4945178  50.33
1980-1989     35-39     0.00079  0.00393  2.69   97989     385  489053  4454532  45.46
1980-1989     40-44     0.00121  0.00603  2.66   97604     588  486644  3965479  40.63
1980-1989     45-49     0.00212  0.01053  2.71   97015    1021  482734  3478835  35.86
1980-1989     50-54     0.00365  0.01812  2.71   95994    1739  475987  2996101  31.21
1980-1989     55-59     0.00582  0.02871  2.69   94255    2706  465020  2520115  26.74
1980-1989     60-64     0.00908  0.04446  2.70   91549    4071  448366  2055095  22.45
1980-1989     65-69     0.01477  0.07139  2.69   87479    6245  422973  1606729  18.37
1980-1989     70-74     0.02495  0.11783  2.64   81233    9572  383600  1183756  14.57
1980-1989     75-79     0.04270  0.19407  2.65   71662   13907  325682   800156  11.17
1980-1989     80-84     0.07574  0.32010  2.58   57755   18487  244105   474474   8.22
1980-1989     85-89     0.12955  0.48563  2.42   39267   19069  147195   230369   5.87
1980-1989     90-94     0.21320  0.67417  2.27   20198   13617   63869    83174   4.12
1980-1989     95-99     0.32176  0.81945  2.01    6581    5393   16760    19306   2.93
1980-1989    100-104    0.45721  0.91523  1.72    1188    1087    2379     2545   2.14
1980-1989    105-109    0.60012  0.96191  1.47     101      97     161      167   1.66
1980-1989    110+       0.71181  1.00000  1.40       4       4       5        5   1.40
1990-1999        0      0.00499  0.00497  0.14  100000     497   99572  8129325  81.29
1990-1999      1-4      0.00027  0.00109  1.61   99503     108  397753  8029753  80.70
1990-1999      5-9      0.00012  0.00059  2.30   99395      59  496815  7631999  76.78
1990-1999     10-14     0.00015  0.00075  2.99   99336      74  496530  7135184  71.83
1990-1999     15-19     0.00029  0.00146  2.83   99261     145  495993  6638654  66.88
1990-1999     20-24     0.00040  0.00199  2.43   99116     197  495076  6142661  61.97
1990-1999     25-29     0.00040  0.00201  2.53   98919     199  494106  5647585  57.09
1990-1999     30-34     0.00052  0.00261  2.60   98721     258  492984  5153479  52.20
1990-1999     35-39     0.00070  0.00350  2.69   98463     345  491519  4660494  47.33
1990-1999     40-44     0.00107  0.00534  2.61   98118     524  489341  4168976  42.49
1990-1999     45-49     0.00159  0.00791  2.70   97594     772  486193  3679635  37.70
1990-1999     50-54     0.00263  0.01309  2.67   96822    1267  481157  3193441  32.98
1990-1999     55-59     0.00427  0.02113  2.71   95555    2020  473148  2712284  28.38
1990-1999     60-64     0.00695  0.03421  2.70   93536    3200  460307  2239136  23.94
1990-1999     65-69     0.01174  0.05715  2.67   90335    5163  439663  1778829  19.69
1990-1999     70-74     0.01971  0.09422  2.67   85172    8025  407142  1339166  15.72
1990-1999     75-79     0.03514  0.16241  2.67   77147   12529  356517   932024  12.08
1990-1999     80-84     0.06437  0.27893  2.61   64618   18024  279981   575507   8.91
1990-1999     85-89     0.11354  0.44162  2.49   46594   20577  181234   295526   6.34
1990-1999     90-94     0.19421  0.63740  2.30   26017   16583   85390   114292   4.39
1990-1999     95-99     0.30511  0.80297  2.05    9434    7575   24827    28902   3.06
1990-1999    100-104    0.44565  0.91029  1.75    1859    1692    3797     4075   2.19
1990-1999    105-109    0.59631  0.96147  1.48     167     160     269      278   1.67
1990-1999    110+       0.71429  1.00000  1.40       6       6       9        9   1.40
2000-2009        0      0.00398  0.00396  0.14  100000     396   99660  8350871  83.51
2000-2009      1-4      0.00017  0.00066  1.61   99604      66  398257  8251211  82.84
2000-2009      5-9      0.00008  0.00041  2.37   99538      41  497580  7852954  78.89
2000-2009     10-14     0.00010  0.00049  2.73   99497      49  497373  7355374  73.93
2000-2009     15-19     0.00024  0.00120  2.70   99448     120  496964  6858001  68.96
2000-2009     20-24     0.00028  0.00138  2.46   99328     137  496293  6361037  64.04
2000-2009     25-29     0.00033  0.00164  2.56   99191     162  495560  5864744  59.13
2000-2009     30-34     0.00044  0.00218  2.60   99029     216  494625  5369184  54.22
2000-2009     35-39     0.00063  0.00315  2.76   98813     311  493369  4874559  49.33
2000-2009     40-44     0.00090  0.00451  2.68   98502     444  491477  4381191  44.48
2000-2009     45-49     0.00142  0.00709  2.65   98058     695  488652  3889714  39.67
2000-2009     50-54     0.00219  0.01090  2.67   97362    1061  484339  3401062  34.93
2000-2009     55-59     0.00324  0.01607  2.68   96301    1547  477910  2916723  30.29
2000-2009     60-64     0.00509  0.02516  2.68   94754    2384  468241  2438814  25.74
2000-2009     65-69     0.00827  0.04057  2.71   92370    3748  453252  1970572  21.33
2000-2009     70-74     0.01461  0.07071  2.73   88622    6266  428888  1517320  17.12
2000-2009     75-79     0.02662  0.12543  2.70   82356   10330  388013  1088433  13.22
2000-2009     80-84     0.05085  0.22725  2.66   72026   16368  321866   700420   9.72
2000-2009     85-89     0.09799  0.39567  2.57   55658   22022  224732   378553   6.80
