WA,  Deaths (Lexis triangle)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      170.13      224.57      394.70
 1971    0      1970       28.87       41.48       70.35
 1971    1      1970       13.19        9.95       23.14
 1971    1      1969       10.81        8.05       18.86
 1971    2      1969        4.34        6.42       10.76
 1971    2      1968        3.66        5.58        9.24
 1971    3      1968        4.90        2.70        7.60
 1971    3      1967        4.10        2.30        6.40
 1971    4      1967        0.54        7.48        8.02
 1971    4      1966        0.46        6.53        6.99
 1971    5      1966        2.63        2.67        5.30
 1971    5      1965        2.37        2.33        4.70
 1971    6      1965        0.51        5.66        6.17
 1971    6      1964        0.49        5.34        5.83
 1971    7      1964        3.07        0.51        3.58
 1971    7      1963        2.93        0.49        3.42
 1971    8      1963        0.52        2.61        3.13
 1971    8      1962        0.48        2.39        2.87
 1971    9      1962        1.03        2.61        3.64
 1971    9      1961        0.97        2.40        3.37
 1971   10      1961        1.51        2.55        4.06
 1971   10      1960        1.49        2.45        3.94
 1971   11      1960        1.00        2.54        3.54
 1971   11      1959        1.00        2.46        3.46
 1971   12      1959        0.00        1.03        1.03
 1971   12      1958        0.00        0.97        0.97
 1971   13      1958        1.01        2.02        3.03
 1971   13      1957        0.99        1.98        2.97
 1971   14      1957        1.01        5.06        6.07
 1971   14      1956        0.99        4.94        5.93
 1971   15      1956        0.50        1.53        2.03
 1971   15      1955        0.50        1.47        1.97
 1971   16      1955        4.09        3.54        7.63
 1971   16      1954        3.91        3.46        7.37
 1971   17      1954        4.02        6.52       10.54
 1971   17      1953        3.98        6.48       10.46
 1971   18      1953        5.08       12.12       17.20
 1971   18      1952        4.92       11.88       16.80
 1971   19      1952        3.09        5.53        8.62
 1971   19      1951        2.91        5.47        8.38
 1971   20      1951        4.12        9.54       13.66
 1971   20      1950        3.88        8.46       12.34
 1971   21      1950        4.14       10.65       14.79
 1971   21      1949        3.86        9.35       13.21
 1971   22      1949        2.09        8.40       10.49
 1971   22      1948        1.91        7.60        9.51
 1971   23      1948        2.55        8.89       11.44
 1971   23      1947        2.45        8.11       10.56
 1971   24      1947        2.62       11.64       14.26
 1971   24      1946        2.38       10.37       12.75
 1971   25      1946        1.06       11.04       12.10
 1971   25      1945        0.94        8.96        9.90
 1971   26      1945        1.02        6.77        7.79
 1971   26      1944        0.98        6.23        7.21
 1971   27      1944        3.11        4.78        7.89
 1971   27      1943        2.89        4.22        7.11
 1971   28      1943        2.08        6.44        8.52
 1971   28      1942        1.92        5.56        7.48
 1971   29      1942        2.03        9.41       11.44
 1971   29      1941        1.97        8.60       10.57
 1971   30      1941        1.06        7.01        8.07
 1971   30      1940        0.94        5.99        6.93
 1971   31      1940        3.11        8.29       11.40
 1971   31      1939        2.89        7.71       10.60
 1971   32      1939        2.54        7.27        9.81
 1971   32      1938        2.46        6.73        9.19
 1971   33      1938        1.57        4.24        5.81
 1971   33      1937        1.43        3.76        5.19
 1971   34      1937        5.12        5.26       10.38
 1971   34      1936        4.88        4.74        9.62
 1971   35      1936        3.64        9.27       12.91
 1971   35      1935        3.36        8.73       12.09
 1971   36      1935        3.59        6.77       10.36
 1971   36      1934        3.41        6.23        9.64
 1971   37      1934        3.04        9.18       12.22
 1971   37      1933        2.96        8.82       11.78
 1971   38      1933        3.58        4.54        8.12
 1971   38      1932        3.42        4.46        7.88
 1971   39      1932        6.45        9.47       15.92
 1971   39      1931        6.55        9.53       16.08
 1971   40      1931        3.99       11.29       15.28
 1971   40      1930        4.01       11.72       15.73
 1971   41      1930        4.03        8.78       12.81
 1971   41      1929        3.97        8.23       12.20
 1971   42      1929        6.26       12.19       18.45
 1971   42      1928        5.74       11.82       17.56
 1971   43      1928        3.08       10.73       13.81
 1971   43      1927        2.92       10.28       13.20
 1971   44      1927        7.21        9.66       16.87
 1971   44      1926        6.79        9.35       16.14
 1971   45      1926        8.16       11.65       19.81
 1971   45      1925        7.84       11.35       19.19
 1971   46      1925       11.09       12.56       23.65
 1971   46      1924       10.91       12.44       23.35
 1971   47      1924        8.85       16.87       25.72
 1971   47      1923        8.15       16.14       24.29
 1971   48      1923       11.57       23.82       35.39
 1971   48      1922       11.43       24.19       35.62
 1971   49      1922       11.36       14.29       25.65
 1971   49      1921       10.64       13.72       24.36
 1971   50      1921       13.62       22.12       35.74
 1971   50      1920       13.38       22.89       36.27
 1971   51      1920       10.59       22.07       32.66
 1971   51      1919        9.41       18.94       28.35
 1971   52      1919       11.14       15.88       27.02
 1971   52      1918       10.86       16.13       26.99
 1971   53      1918        9.82       14.48       24.30
 1971   53      1917       10.18       15.52       25.70
 1971   54      1917       10.37       22.90       33.27
 1971   54      1916       10.63       24.11       34.74
 1971   55      1916       15.30       21.91       37.21
 1971   55      1915       15.70       22.10       37.80
 1971   56      1915       18.61       30.50       49.11
 1971   56      1914       18.39       30.51       48.90
 1971   57      1914       19.83       40.62       60.45
 1971   57      1913       19.17       40.39       59.56
 1971   58      1913       17.66       31.77       49.43
 1971   58      1912       16.34       30.24       46.58
 1971   59      1912       20.22       44.49       64.71
 1971   59      1911       18.78       41.53       60.31
 1971   60      1911       17.10       38.64       55.74
 1971   60      1910       16.90       38.38       55.28
 1971   61      1910       16.59       37.63       54.22
 1971   61      1909       16.41       37.38       53.79
 1971   62      1909       24.14       54.19       78.33
 1971   62      1908       23.86       53.83       77.69
 1971   63      1908       27.15       50.18       77.33
 1971   63      1907       26.85       49.84       76.69
 1971   64      1907       19.11       57.20       76.31
 1971   64      1906       18.89       56.82       75.71
 1971   65      1906       30.92       66.44       97.36
 1971   65      1905       31.08       66.59       97.67
 1971   66      1905       28.93       51.96       80.89
 1971   66      1904       29.07       52.07       81.14
 1971   67      1904       31.42       61.45       92.87
