WA, Exposure to risk (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             10996.94        11581.81        22578.75
  1971           1             10822.40        11340.90        22163.30
  1971           2             10502.88        10999.62        21502.50
  1971           3             10384.17        10974.99        21359.17
  1971           4             10067.48        10651.11        20718.59
  1971           5             10025.29        10616.68        20641.97
  1971           6             10057.10        10560.38        20617.48
  1971           7             10316.30        10821.41        21137.71
  1971           8             10558.26        11125.51        21683.77
  1971           9             10705.81        11370.04        22075.85
  1971          10             10633.87        11276.78        21910.65
  1971          11             10594.07        11216.66        21810.73
  1971          12             10409.48        10964.39        21373.87
  1971          13             10232.72        10785.58        21018.30
  1971          14             10068.92        10662.12        20731.04
  1971          15              9853.37        10466.57        20319.94
  1971          16              9692.19        10194.14        19886.33
  1971          17              9482.16         9737.20        19219.36
  1971          18              9209.52         9481.74        18691.25
  1971          19              9176.62         9505.77        18682.39
  1971          20              9065.77         9525.99        18591.76
  1971          21              9091.82         9589.33        18681.15
  1971          22              9174.94         9830.51        19005.45
  1971          23              9385.09        10406.27        19791.36
  1971          24              9071.62        10408.04        19479.66
  1971          25              8930.51        10315.23        19245.74
  1971          26              7713.82         9041.67        16755.49
  1971          27              7631.84         8732.06        16363.91
  1971          28              7440.98         8440.40        15881.37
  1971          29              7111.32         8008.60        15119.91
  1971          30              7002.96         7899.49        14902.45
  1971          31              6889.76         7592.04        14481.80
  1971          32              6608.40         7338.48        13946.88
  1971          33              6603.36         7118.34        13721.71
  1971          34              6462.24         7003.88        13466.12
  1971          35              6324.35         6817.88        13142.22
  1971          36              6151.84         6653.67        12805.51
  1971          37              5932.68         6379.70        12312.38
  1971          38              5776.69         6351.93        12128.62
  1971          39              5981.17         6635.58        12616.75
  1971          40              5935.92         6688.51        12624.44
  1971          41              6104.12         6883.84        12987.96
  1971          42              5985.65         6643.92        12629.56
  1971          43              5926.34         6574.90        12501.24
  1971          44              5913.47         6658.79        12572.25
  1971          45              5781.90         6462.84        12244.74
  1971          46              5725.32         6457.91        12183.23
  1971          47              5545.34         6097.27        11642.61
  1971          48              5542.60         6008.02        11550.62
  1971          49              5585.49         5942.02        11527.51
  1971          50              5414.92         5717.95        11132.87
  1971          51              5085.87         5276.92        10362.79
  1971          52              4572.37         4707.54         9279.92
  1971          53              4319.01         4293.14         8612.15
  1971          54              4378.48         4350.35         8728.83
  1971          55              4501.58         4518.07         9019.65
  1971          56              4639.87         4533.29         9173.15
  1971          57              4608.12         4599.53         9207.64
  1971          58              4480.11         4527.85         9007.96
  1971          59              4377.20         4371.72         8748.91
  1971          60              4154.85         4116.97         8271.83
  1971          61              4144.38         4022.40         8166.78
  1971          62              3854.67         3792.83         7647.50
  1971          63              3816.30         3717.53         7533.83
  1971          64              3700.30         3637.87         7338.17
  1971          65              3472.93         3426.03         6898.96
  1971          66              3408.30         3353.62         6761.92
  1971          67              3121.69         3112.53         6234.22
  1971          68              2966.61         2976.34         5942.95
  1971          69              2860.96         2835.12         5696.08
  1971          70              2755.68         2563.25         5318.93
  1971          71              2661.50         2366.94         5028.43
  1971          72              2425.59         2012.40         4438.00
  1971          73              2062.80         1687.08         3749.88
  1971          74              1930.57         1468.30         3398.86
  1971          75              1784.93         1305.21         3090.14
  1971          76              1734.83         1174.09         2908.92
  1971          77              1572.67         1054.04         2626.71
  1971          78              1435.82          942.20         2378.02
  1971          79              1347.72          863.60         2211.33
  1971          80              1251.63          789.40         2041.03
  1971          81              1132.33          707.26         1839.59
  1971          82              1021.17          581.91         1603.07
  1971          83               896.45          472.27         1368.73
  1971          84               753.12          390.82         1143.94
  1971          85               615.66          334.92          950.58
  1971          86               518.72          275.72          794.43
  1971          87               445.70          212.09          657.80
  1971          88               365.70          165.75          531.45
  1971          89               293.77          127.79          421.56
  1971          90               243.76           93.82          337.58
  1971          91               197.51           69.41          266.92
  1971          92               141.65           51.11          192.76
  1971          93                92.28           37.22          129.50
  1971          94                69.01           30.13           99.13
  1971          95                58.41           23.31           81.72
  1971          96                38.89           13.08           51.97
  1971          97                20.17            7.29           27.46
  1971          98                14.74            5.37           20.11
  1971          99                11.10            2.89           13.99
  1971         100                 6.50            0.77            7.26
  1971         101                 3.77            0.00            3.77
  1971         102                 1.97            0.00            1.97
  1971         103                 0.76            0.00            0.76
  1971         104                 0.16            0.00            0.16
  1971         105                 0.00            0.00            0.00
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0             10705.65        11342.95        22048.60
  1972           1             11135.45        11744.34        22879.78
  1972           2             10888.10        11435.11        22323.21
  1972           3             10688.65        11204.16        21892.81
  1972           4             10442.60        11056.04        21498.64
  1972           5             10187.03        10830.06        21017.09
  1972           6             10045.51        10661.56        20707.07
  1972           7             10049.51        10560.03        20609.54
  1972           8             10314.02        10792.53        21106.55
  1972           9             10655.53        11240.52        21896.05
  1972          10             10737.01        11450.02        22187.03
  1972          11             10756.00        11478.54        22234.54
  1972          12             10713.00        11413.01        22126.01
  1972          13             10506.01        11124.02        21630.03
  1972          14             10384.50        10832.01        21216.51
  1972          15             10090.51        10601.50        20692.01
  1972          16              9944.00        10590.56        20534.56
  1972          17              9873.54        10340.05        20213.59
  1972          18              9603.01         9825.02        19428.03
  1972          19              9451.52         9610.04        19061.56
  1972          20              9360.55         9678.13        19038.68
  1972          21              9178.01         9720.66        18898.67
  1972          22              9196.01         9770.23        18966.24
  1972          23              9262.53         9914.65        19177.19
  1972          24              9377.04        10367.67        19744.72
  1972          25              9861.55        11082.62        20944.17
  1972          26              8933.51        10400.66        19334.17
  1972          27              7839.01         9090.10        16929.11
  1972          28              7856.54         8895.61        16752.15
  1972          29              7513.03         8386.25        15899.28
  1972          30              7195.53         8085.58        15281.11
  1972          31              7208.57         8018.10        15226.67
  1972          32              6896.05         7694.61        14590.66
  1972          33              6766.01         7453.60        14219.61
  1972          34              6706.51         7260.63        13967.14
  1972          35              6561.53         7082.08        13643.61
  1972          36              6473.06         6963.57        13436.63
  1972          37              6292.03         6715.11        13007.15
  1972          38              5880.54         6344.55        12225.10
  1972          39              5844.06         6354.04        12198.09
  1972          40              5857.00         6491.98        12348.98
  1972          41              6010.50         6825.96        12836.47
  1972          42              6115.02         6864.09        12979.11
  1972          43              6007.10         6615.58        12622.68
  1972          44              5963.57         6640.59        12604.16
  1972          45              5913.11         6594.07        12507.18
  1972          46              5863.06         6637.58        12500.64
  1972          47              5719.55         6434.04        12153.58
  1972          48              5526.12         6064.69        11590.81
  1972          49              5527.55         6005.98        11533.53
  1972          50              5548.19         5908.15        11456.34
  1972          51              5587.57         5849.40        11436.97
  1972          52              5198.28         5444.97        10643.25
  1972          53              4612.05         4687.98         9300.02
  1972          54              4302.97         4202.82         8505.79
  1972          55              4347.97         4344.33         8692.30
  1972          56              4499.48         4426.50         8925.97
  1972          57              4668.07         4454.04         9122.10
  1972          58              4651.16         4575.08         9226.24
  1972          59              4532.25         4545.33         9077.58
  1972          60              4286.76         4295.98         8582.74
  1972          61              4284.58         4161.10         8445.68
  1972          62              4043.58         3910.62         7954.21
  1972          63              3875.13         3716.61         7591.73
  1972          64              3859.61         3678.14         7537.75
  1972          65              3624.55         3501.55         7126.10
  1972          66              3514.54         3409.55         6924.09
  1972          67              3391.55         3235.56         6627.11
  1972          68              3120.06         3002.56         6122.62
  1972          69              2963.55         2926.56         5890.11
  1972          70              2769.50         2690.98         5460.48
  1972          71              2738.50         2513.48         5251.98
  1972          72              2716.00         2305.48         5021.48
  1972          73              2385.50         1939.48         4324.98
  1972          74              2033.50         1597.49         3630.98
  1972          75              1813.92         1363.92         3177.83
  1972          76              1717.91         1197.39         2915.30
  1972          77              1663.92         1075.41         2739.33
  1972          78              1477.91          944.90         2422.81
  1972          79              1374.89          850.92         2225.81
  1972          80              1307.89          748.06         2055.95
  1972          81              1162.98          689.96         1852.95
  1972          82              1045.96          614.50         1660.46
  1972          83               931.02          500.93         1431.95
  1972          84               802.80          399.53         1202.32
  1972          85               661.71          326.35          988.06
  1972          86               538.49          272.69          811.17
  1972          87               448.80          223.00          671.80
  1972          88               380.04          170.62          550.66
  1972          89               311.51          129.52          441.03
  1972          90               241.07           98.95          340.02
  1972          91               195.60           69.84          265.44
  1972          92               156.81           50.73          207.54
  1972          93               110.50           39.64          150.14
  1972          94                69.04           27.48           96.51
  1972          95                48.69           19.79           68.48
  1972          96                42.15           13.85           56.00
  1972          97                25.94            7.43           33.36
  1972          98                12.76            4.81           17.57
  1972          99                10.23            3.11           13.34
  1972         100                 6.84            1.30            8.13
  1972         101                 3.46            0.26            3.72
  1972         102                 1.82            0.00            1.82
  1972         103                 0.77            0.00            0.77
  1972         104                 0.15            0.00            0.15
  1972         105                 0.00            0.00            0.00
  1972         106                 0.00            0.00            0.00
  1972         107                 0.00            0.00            0.00
  1972         108                 0.00            0.00            0.00
  1972         109                 0.00            0.00            0.00
  1972         110+                0.00            0.00            0.00
  1973           0             10076.20        10631.96        20708.16
  1973           1             10796.14        11435.18        22231.32
  1973           2             11258.11        11907.17        23165.27
  1973           3             11034.11        11580.63        22614.74
  1973           4             10777.09        11337.57        22114.66
  1973           5             10498.52        11170.06        21668.58
  1973           6             10264.02        10922.01        21186.03
  1973           7             10138.02        10783.03        20921.05
  1973           8             10135.51        10670.02        20805.53
  1973           9             10391.52        10885.01        21276.53
  1973          10             10736.51        11370.02        22106.53
  1973          11             10809.50        11559.01        22368.51
  1973          12             10818.51        11588.01        22406.52
  1973          13             10766.00        11558.02        22324.02
  1973          14             10574.01        11208.50        21782.51
  1973          15             10424.51        10812.99        21237.50
  1973          16             10100.02        10533.49        20633.50
  1973          17              9979.00        10540.55        20519.55
  1973          18              9952.06        10377.06        20329.12
  1973          19              9734.51         9967.51        19702.02
  1973          20              9621.53         9824.68        19446.21
  1973          21              9545.51         9904.75        19450.25
  1973          22              9373.03         9950.63        19323.66
  1973          23              9365.01        10008.68        19373.69
  1973          24              9435.01        10161.08        19596.09
  1973          25              9579.02        10517.16        20096.18
  1973          26              9968.06        11190.13        21158.19
  1973          27              9037.52        10464.26        19501.78
  1973          28              7895.51         9099.55        16995.06
  1973          29              7921.51         8901.16        16822.67
  1973          30              7602.52         8402.63        16005.15
  1973          31              7269.01         8111.05        15380.05
  1973          32              7274.57         8039.62        15314.18
  1973          33              6985.53         7752.10        14737.62
  1973          34              6835.51         7551.10        14386.62
  1973          35              6786.05         7352.06        14138.11
  1973          36              6672.02         7178.10        13850.12
  1973          37              6545.08         7044.57        13589.64
  1973          38              6318.05         6718.59        13036.63
  1973          39              5891.02         6330.05        12221.07
  1973          40              5850.04         6407.00        12257.03
  1973          41              5840.00         6514.96        12354.95
  1973          42              5995.50         6799.43        12794.93
  1973          43              6134.52         6871.65        13006.18
  1973          44              6031.63         6594.06        12625.69
  1973          45              5963.56         6602.06        12565.62
  1973          46              5938.08         6633.55        12571.63
  1973          47              5871.60         6662.08        12533.68
  1973          48              5705.03         6389.53        12094.55
  1973          49              5505.18         6007.65        11512.83
  1973          50              5526.05         5979.45        11505.50
  1973          51              5542.60         5898.62        11441.22
  1973          52              5554.05         5797.31        11351.37
  1973          53              5190.25         5389.12        10579.37
  1973          54              4648.06         4672.44         9320.50
  1973          55              4323.93         4177.23         8501.16
  1973          56              4355.94         4322.77         8678.72
  1973          57              4517.95         4390.46         8908.41
  1973          58              4692.06         4404.99         9097.05
  1973          59              4651.17         4537.53         9188.70
  1973          60              4526.77         4500.80         9027.58
  1973          61              4278.23         4234.38         8512.61
  1973          62              4241.08         4098.05         8339.13
  1973          63              3997.09         3839.55         7836.64
  1973          64              3860.59         3633.06         7493.65
  1973          65              3831.01         3585.97         7416.98
  1973          66              3598.01         3437.47         7035.48
  1973          67              3466.51         3307.97         6774.48
  1973          68              3337.51         3106.47         6443.98
  1973          69              3073.51         2888.97         5962.48
  1973          70              2931.44         2819.38         5750.82
  1973          71              2712.47         2574.88         5287.35
  1973          72              2677.95         2373.36         5051.31
  1973          73              2671.43         2172.38         4843.81
  1973          74              2318.45         1813.90         4132.35
  1973          75              1948.86         1486.29         3435.15
  1973          76              1731.87         1266.34         2998.22
  1973          77              1649.87         1093.32         2743.19
  1973          78              1561.32          960.30         2521.61
  1973          79              1365.83          839.85         2205.68
  1973          80              1354.98          763.59         2118.57
  1973          81              1220.50          653.13         1873.63
  1973          82              1079.90          607.11         1687.01
  1973          83               946.92          531.90         1478.82
  1973          84               829.58          421.28         1250.86
  1973          85               712.97          331.42         1044.38
  1973          86               576.86          271.30          848.16
  1973          87               461.89          225.63          687.52
  1973          88               380.98          179.95          560.93
  1973          89               322.22          133.82          456.05
  1973          90               260.72           99.35          360.07
  1973          91               199.07           74.19          273.26
  1973          92               159.31           50.88          210.19
  1973          93               123.59           37.75          161.33
  1973          94                82.01           29.13          111.14
  1973          95                49.50           19.41           68.91
  1973          96                35.93           12.97           48.91
  1973          97                29.39            8.13           37.53
  1973          98                17.54            4.46           22.00
  1973          99                 8.75            2.29           11.04
  1973         100                 6.28            1.24            7.52
  1973         101                 3.64            0.68            4.32
  1973         102                 1.56            0.18            1.74
  1973         103                 0.62            0.00            0.62
  1973         104                 0.17            0.00            0.17
  1973         105                 0.00            0.00            0.00
  1973         106                 0.00            0.00            0.00
  1973         107                 0.00            0.00            0.00
  1973         108                 0.00            0.00            0.00
  1973         109                 0.00            0.00            0.00
  1973         110+                0.00            0.00            0.00
  1974           0              9918.35        10377.49        20295.84
  1974           1             10252.10        10786.65        21038.74
  1974           2             10999.09        11640.07        22639.16
  1974           3             11458.52        12145.14        23603.66
  1974           4             11246.58        11809.58        23056.16
  1974           5             10936.53        11545.06        22481.60
  1974           6             10610.04        11347.06        21957.10
  1974           7             10397.53        11072.04        21469.57
  1974           8             10277.05        10982.50        21259.55
  1974           9             10270.51        10831.04        21101.55
  1974          10             10517.50        11024.51        21542.00
  1974          11             10850.51        11534.51        22385.02
  1974          12             10895.00        11701.52        22596.52
  1974          13             10905.00        11724.00        22629.01
  1974          14             10845.00        11704.51        22549.51
  1974          15             10648.51        11302.02        21950.53
  1974          16             10495.51        10806.00        21301.51
  1974          17             10156.01        10504.00        20660.01
  1974          18             10056.00        10568.10        20624.10
  1974          19             10079.54        10501.05        20580.59
  1974          20              9914.51        10224.20        20138.71
  1974          21              9876.53        10115.71        19992.24
  1974          22              9866.53        10242.58        20109.11
  1974          23              9666.53        10276.19        19942.73
  1974          24              9659.53        10274.69        19934.22
  1974          25              9703.54        10395.12        20098.66
  1974          26              9754.01        10713.17        20467.18
  1974          27             10121.05        11348.14        21469.19
  1974          28              9184.03        10586.52        19770.55
  1974          29              8005.01         9194.59        17199.60
  1974          30              8043.05         8980.13        17023.18
  1974          31              7754.54         8481.15        16235.69
  1974          32              7408.02         8200.08        15608.10
  1974          33              7380.05         8122.60        15502.65
  1974          34              7106.53         7849.08        14955.60
  1974          35              6942.52         7662.56        14605.08
  1974          36              6903.06         7445.57        14348.63
  1974          37              6810.53         7300.08        14110.61
  1974          38              6640.57         7152.12        13792.69
  1974          39              6338.54         6748.14        13086.67
  1974          40              5903.04         6348.53        12251.57
  1974          41              5859.54         6492.01        12351.55
  1974          42              5830.49         6539.46        12369.95
  1974          43              5981.00         6775.45        12756.45
  1974          44              6172.53         6884.65        13057.18
  1974          45              6065.11         6568.58        12633.68
  1974          46              5988.57         6563.14        12551.71
  1974          47              5972.09         6683.59        12655.68
  1974          48              5905.58         6689.61        12595.18
  1974          49              5702.04         6338.07        12040.11
  1974          50              5491.16         5964.67        11455.83
  1974          51              5525.03         5963.48        11488.51
  1974          52              5556.67         5888.72        11445.38
  1974          53              5527.03         5745.41        11272.45
  1974          54              5182.80         5334.82        10517.62
  1974          55              4693.05         4655.98         9349.04
  1974          56              4348.93         4156.74         8505.67
  1974          57              4359.43         4309.27         8668.70
  1974          58              4541.94         4360.50         8902.45
  1974          59              4715.06         4341.56         9056.62
  1974          60              4650.10         4477.08         9127.18
  1974          61              4522.18         4449.78         8971.96
  1974          62              4277.19         4170.55         8447.74
  1974          63              4197.59         4026.14         8223.73
  1974          64              3959.08         3769.63         7728.71
  1974          65              3835.01         3547.09         7382.09
  1974          66              3802.51         3494.06         7296.57
  1974          67              3569.01         3365.07         6934.07
  1974          68              3412.51         3202.58         6615.09
  1974          69              3258.01         2975.58         6233.59
  1974          70              3019.45         2762.00         5781.45
  1974          71              2889.94         2706.50         5596.44
  1974          72              2646.95         2445.50         5092.44
  1974          73              2616.44         2232.00         4848.43
  1974          74              2617.92         2046.00         4663.92
  1974          75              2251.85         1709.89         3961.74
  1974          76              1853.86         1377.40         3231.26
  1974          77              1666.37         1162.41         2828.78
  1974          78              1566.35          985.41         2551.77
  1974          79              1447.32          847.92         2295.24
  1974          80              1378.45          791.68         2170.13
  1974          81              1265.65          672.32         1937.97
  1974          82              1134.21          580.18         1714.39
  1974          83               982.42          526.69         1509.11
  1974          84               851.31          449.94         1301.25
  1974          85               743.28          351.56         1094.83
  1974          86               625.18          272.71          897.89
  1974          87               499.07          220.36          719.42
  1974          88               397.60          180.92          578.53
  1974          89               324.45          142.99          467.44
  1974          90               271.45          103.98          375.43
  1974          91               215.75           74.39          290.15
  1974          92               159.32           53.50          212.82
  1974          93               121.04           34.92          155.95
  1974          94                92.60           25.79          118.40
  1974          95                62.46           22.16           84.62
  1974          96                35.77           13.64           49.41
  1974          97                25.18            8.31           33.49
  1974          98                21.14            5.86           27.00
  1974          99                12.11            2.20           14.31
  1974         100                 5.26            0.80            6.06
  1974         101                 3.16            0.52            3.68
  1974         102                 1.52            0.19            1.72
  1974         103                 0.33            0.00            0.33
  1974         104                 0.00            0.00            0.00
  1974         105                 0.00            0.00            0.00
  1974         106                 0.00            0.00            0.00
  1974         107                 0.00            0.00            0.00
  1974         108                 0.00            0.00            0.00
  1974         109                 0.00            0.00            0.00
  1974         110+                0.00            0.00            0.00
  1975           0              9843.20        10316.02        20159.23
  1975           1             10000.12        10475.20        20475.32
  1975           2             10461.55        10994.59        21456.15
  1975           3             11207.01        11849.05        23056.06
  1975           4             11656.11        12373.60        24029.71
  1975           5             11441.53        12025.09        23466.62
  1975           6             11062.04        11727.54        22789.58
