PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
WA,8,f,0,1,O,30,6,1971,3,O,10976,.,.,.,1
WA,8,f,1,1,O,30,6,1971,3,O,10486,.,.,.,1
WA,8,f,2,1,O,30,6,1971,3,O,10639,.,.,.,1
WA,8,f,3,1,O,30,6,1971,3,O,10126,.,.,.,1
WA,8,f,4,1,O,30,6,1971,3,O,10031,.,.,.,1
WA,8,f,5,1,O,30,6,1971,3,O,9803,.,.,.,1
WA,8,f,6,1,O,30,6,1971,3,O,10020,.,.,.,1
WA,8,f,7,1,O,30,6,1971,3,O,10367,.,.,.,1
WA,8,f,8,1,O,30,6,1971,3,O,10674,.,.,.,1
WA,8,f,9,1,O,30,6,1971,3,O,10579,.,.,.,1
WA,8,f,10,1,O,30,6,1971,3,O,10699,.,.,.,1
WA,8,f,11,1,O,30,6,1971,3,O,10486,.,.,.,1
WA,8,f,12,1,O,30,6,1971,3,O,10269,.,.,.,1
WA,8,f,13,1,O,30,6,1971,3,O,10218,.,.,.,1
WA,8,f,14,1,O,30,6,1971,3,O,9868,.,.,.,1
WA,8,f,15,1,O,30,6,1971,3,O,9874,.,.,.,1
WA,8,f,16,1,O,30,6,1971,3,O,9665,.,.,.,1
WA,8,f,17,1,O,30,6,1971,3,O,9198,.,.,.,1
WA,8,f,18,1,O,30,6,1971,3,O,9178,.,.,.,1
WA,8,f,19,1,O,30,6,1971,3,O,8923,.,.,.,1
WA,8,f,20,1,O,30,6,1971,3,O,8927,.,.,.,1
WA,8,f,21,1,O,30,6,1971,3,O,9037,.,.,.,1
WA,8,f,22,1,O,30,6,1971,3,O,9122,.,.,.,1
WA,8,f,23,1,O,30,6,1971,3,O,9178,.,.,.,1
WA,8,f,24,1,O,30,6,1971,3,O,9867,.,.,.,1
WA,8,f,25,1,O,30,6,1971,3,O,7526,.,.,.,1
WA,8,f,26,1,O,30,6,1971,3,O,7883,.,.,.,1
WA,8,f,27,1,O,30,6,1971,3,O,7609,.,.,.,1
WA,8,f,28,1,O,30,6,1971,3,O,7014,.,.,.,1
WA,8,f,29,1,O,30,6,1971,3,O,7143,.,.,.,1
WA,8,f,30,1,O,30,6,1971,3,O,7050,.,.,.,1
WA,8,f,31,1,O,30,6,1971,3,O,6466,.,.,.,1
WA,8,f,32,1,O,30,6,1971,3,O,6790,.,.,.,1
WA,8,f,33,1,O,30,6,1971,3,O,6410,.,.,.,1
WA,8,f,34,1,O,30,6,1971,3,O,6324,.,.,.,1
WA,8,f,35,1,O,30,6,1971,3,O,6360,.,.,.,1
WA,8,f,36,1,O,30,6,1971,3,O,6066,.,.,.,1
WA,8,f,37,1,O,30,6,1971,3,O,5621,.,.,.,1
WA,8,f,38,1,O,30,6,1971,3,O,5928,.,.,.,1
WA,8,f,39,1,O,30,6,1971,3,O,5763,.,.,.,1
WA,8,f,40,1,O,30,6,1971,3,O,6246,.,.,.,1
WA,8,f,41,1,O,30,6,1971,3,O,5913,.,.,.,1
WA,8,f,42,1,O,30,6,1971,3,O,5981,.,.,.,1
WA,8,f,43,1,O,30,6,1971,3,O,5961,.,.,.,1
WA,8,f,44,1,O,30,6,1971,3,O,5795,.,.,.,1
WA,8,f,45,1,O,30,6,1971,3,O,5863,.,.,.,1
WA,8,f,46,1,O,30,6,1971,3,O,5589,.,.,.,1
WA,8,f,47,1,O,30,6,1971,3,O,5523,.,.,.,1
WA,8,f,48,1,O,30,6,1971,3,O,5516,.,.,.,1
WA,8,f,49,1,O,30,6,1971,3,O,5558,.,.,.,1
WA,8,f,50,1,O,30,6,1971,3,O,5692,.,.,.,1
WA,8,f,51,1,O,30,6,1971,3,O,4797,.,.,.,1
WA,8,f,52,1,O,30,6,1971,3,O,4288,.,.,.,1
WA,8,f,53,1,O,30,6,1971,3,O,4256,.,.,.,1
WA,8,f,54,1,O,30,6,1971,3,O,4379,.,.,.,1
WA,8,f,55,1,O,30,6,1971,3,O,4537,.,.,.,1
WA,8,f,56,1,O,30,6,1971,3,O,4656,.,.,.,1
WA,8,f,57,1,O,30,6,1971,3,O,4640,.,.,.,1
WA,8,f,58,1,O,30,6,1971,3,O,4429,.,.,.,1
WA,8,f,59,1,O,30,6,1971,3,O,4156,.,.,.,1
WA,8,f,60,1,O,30,6,1971,3,O,4474,.,.,.,1
WA,8,f,61,1,O,30,6,1971,3,O,3756,.,.,.,1
WA,8,f,62,1,O,30,6,1971,3,O,3993,.,.,.,1
