WA, Death rates (period 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.015496        0.020242        0.017931
1971-1974      1-4             0.000921        0.001044        0.000984
1971-1974      5-9             0.000280        0.000407        0.000345
1971-1974     10-14            0.000188        0.000389        0.000292
1971-1974     15-19            0.000596        0.001479        0.001047
1971-1974     20-24            0.000472        0.001809        0.001161
1971-1974     25-29            0.000407        0.001294        0.000878
1971-1974     30-34            0.000669        0.001523        0.001117
1971-1974     35-39            0.001291        0.002099        0.001711
1971-1974     40-44            0.001818        0.002961        0.002420
1971-1974     45-49            0.003139        0.005305        0.004278
1971-1974     50-54            0.004614        0.007932        0.006307
1971-1974     55-59            0.007460        0.014380        0.010882
1971-1974     60-64            0.011150        0.023297        0.017139
1971-1974     65-69            0.017364        0.037189        0.027056
1971-1974     70-74            0.030173        0.057525        0.042930
1971-1974     75-79            0.054854        0.092604        0.070167
1971-1974     80-84            0.085315        0.142156        0.105650
1971-1974     85-89            0.143937        0.211536        0.165633
1971-1974     90-94            0.233031        0.300393        0.250855
1971-1974     95-99            0.342674        0.444404        0.368765
1971-1974    100-104           0.739251        1.014346        0.769076
1971-1974    105-109                 .              .              .
1971-1974    110+                    .              .              .
1975-1979        0             0.010913        0.013904        0.012452
1975-1979      1-4             0.000670        0.000915        0.000795
1975-1979      5-9             0.000234        0.000319        0.000277
1975-1979     10-14            0.000195        0.000343        0.000271
1975-1979     15-19            0.000489        0.001311        0.000910
1975-1979     20-24            0.000499        0.001649        0.001086
1975-1979     25-29            0.000437        0.001280        0.000872
1975-1979     30-34            0.000571        0.001435        0.001024
1975-1979     35-39            0.000938        0.001828        0.001400
1975-1979     40-44            0.001732        0.002591        0.002179
1975-1979     45-49            0.002789        0.004931        0.003909
1975-1979     50-54            0.004180        0.007759        0.006041
1975-1979     55-59            0.006039        0.012543        0.009287
1975-1979     60-64            0.009908        0.021152        0.015319
1975-1979     65-69            0.016350        0.034065        0.024781
1975-1979     70-74            0.026264        0.052509        0.038432
1975-1979     75-79            0.046526        0.082415        0.061763
1975-1979     80-84            0.080648        0.122073        0.095073
1975-1979     85-89            0.130392        0.185731        0.146987
1975-1979     90-94            0.207806        0.262926        0.221881
1975-1979     95-99            0.359626        0.355368        0.358739
1975-1979    100-104           0.613068        0.774537        0.633308
1975-1979    105-109           2.280000              .        2.280000
1975-1979    110+                    .              .              .
1980-1984        0             0.008327        0.010771        0.009581
1980-1984      1-4             0.000490        0.000532        0.000512
1980-1984      5-9             0.000194        0.000305        0.000251
1980-1984     10-14            0.000191        0.000310        0.000252
1980-1984     15-19            0.000374        0.000979        0.000683
1980-1984     20-24            0.000378        0.001480        0.000938
1980-1984     25-29            0.000425        0.001285        0.000863
1980-1984     30-34            0.000460        0.001183        0.000830
1980-1984     35-39            0.000697        0.001488        0.001108
1980-1984     40-44            0.001296        0.002360        0.001847
1980-1984     45-49            0.002233        0.003840        0.003064
1980-1984     50-54            0.003634        0.006840        0.005297
1980-1984     55-59            0.005484        0.011117        0.008372
1980-1984     60-64            0.008631        0.017269        0.012834
1980-1984     65-69            0.013782        0.029226        0.020987
1980-1984     70-74            0.022815        0.046140        0.033284
1980-1984     75-79            0.041546        0.076330        0.056497
1980-1984     80-84            0.070806        0.115593        0.087445
1980-1984     85-89            0.121253        0.169807        0.135713
1980-1984     90-94            0.202466        0.270912        0.219334
1980-1984     95-99            0.311259        0.372361        0.325089
1980-1984    100-104           0.428148        0.921508        0.482368
1980-1984    105-109           1.363636              .        1.363636
1980-1984    110+                    .              .              .
1985-1989        0             0.007398        0.009606        0.008531
1985-1989      1-4             0.000478        0.000512        0.000495
1985-1989      5-9             0.000179        0.000277        0.000229
1985-1989     10-14            0.000191        0.000219        0.000205
1985-1989     15-19            0.000333        0.001046        0.000699
1985-1989     20-24            0.000380        0.001422        0.000911
1985-1989     25-29            0.000403        0.001309        0.000863
1985-1989     30-34            0.000447        0.001164        0.000808
1985-1989     35-39            0.000725        0.001370        0.001053
1985-1989     40-44            0.001124        0.001912        0.001534
1985-1989     45-49            0.001902        0.003215        0.002584
1985-1989     50-54            0.003003        0.005494        0.004287
1985-1989     55-59            0.005273        0.009364        0.007376
1985-1989     60-64            0.008032        0.015920        0.011988
1985-1989     65-69            0.012967        0.024989        0.018679
1985-1989     70-74            0.022449        0.043172        0.031671
1985-1989     75-79            0.037420        0.069517        0.050845
1985-1989     80-84            0.069843        0.111355        0.085651
1985-1989     85-89            0.112679        0.173554        0.131924
1985-1989     90-94            0.195705        0.259962        0.210818
1985-1989     95-99            0.293269        0.382130        0.310162
1985-1989    100-104           0.484554        0.799830        0.519966
1985-1989    105-109           1.245950              .        1.245950
1985-1989    110+                    .              .              .
1990-1994        0             0.006270        0.007501        0.006902
1990-1994      1-4             0.000368        0.000413        0.000391
1990-1994      5-9             0.000168        0.000180        0.000174
1990-1994     10-14            0.000131        0.000215        0.000175
1990-1994     15-19            0.000355        0.000940        0.000656
1990-1994     20-24            0.000438        0.001377        0.000918
1990-1994     25-29            0.000423        0.001267        0.000849
1990-1994     30-34            0.000549        0.001253        0.000903
1990-1994     35-39            0.000727        0.001434        0.001080
1990-1994     40-44            0.001028        0.001668        0.001354
1990-1994     45-49            0.001716        0.002519        0.002134
1990-1994     50-54            0.002615        0.004669        0.003679
1990-1994     55-59            0.004520        0.007926        0.006256
1990-1994     60-64            0.007520        0.013875        0.010726
1990-1994     65-69            0.011874        0.022917        0.017272
1990-1994     70-74            0.019988        0.035604        0.027108
1990-1994     75-79            0.034886        0.062436        0.046389
1990-1994     80-84            0.061316        0.100193        0.075808
1990-1994     85-89            0.110378        0.157184        0.125792
1990-1994     90-94            0.185516        0.242778        0.200360
1990-1994     95-99            0.300215        0.356746        0.310317
1990-1994    100-104           0.467062        0.654347        0.488326
1990-1994    105-109           1.278043              .        1.278043
1990-1994    110+                    .              .              .
1995-1999        0             0.004293        0.006195        0.005268
1995-1999      1-4             0.000314        0.000410        0.000363
1995-1999      5-9             0.000150        0.000169        0.000160
1995-1999     10-14            0.000163        0.000218        0.000192
1995-1999     15-19            0.000353        0.000880        0.000624
1995-1999     20-24            0.000405        0.001418        0.000925
1995-1999     25-29            0.000503        0.001420        0.000969
1995-1999     30-34            0.000544        0.001424        0.000985
1995-1999     35-39            0.000683        0.001503        0.001094
1995-1999     40-44            0.001125        0.001810        0.001467
1995-1999     45-49            0.001422        0.002361        0.001899
1995-1999     50-54            0.002499        0.003778        0.003161
1995-1999     55-59            0.003706        0.006177        0.004977
1995-1999     60-64            0.005904        0.011294        0.008617
1995-1999     65-69            0.010331        0.020317        0.015267
1995-1999     70-74            0.018294        0.032352        0.024939
1995-1999     75-79            0.030766        0.052536        0.040154
1995-1999     80-84            0.057556        0.095747        0.071739
