WA, Exposure to risk (cohort 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79            43795.87        30307.59        74103.47
1895-1899     80-84            32922.15        17965.02        50887.17
1895-1899     85-89            20424.94         8683.27        29108.21
1895-1899     90-94             9592.99         2929.33        12522.32
1895-1899     95-99             2810.09          610.62         3420.71
1895-1899    100-104             414.44           68.11          482.55
1895-1899    105-109              17.38            0.75           18.13
1895-1899    110+                  0.00            0.00            0.00
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74            66448.46        59014.62       125463.08
1900-1904     75-79            58886.84        44806.46       103693.29
1900-1904     80-84            44885.43        27616.28        72501.71
1900-1904     85-89            28416.26        13753.35        42169.61
1900-1904     90-94            13402.63         5027.87        18430.50
1900-1904     95-99             3922.61         1095.42         5018.03
1900-1904    100-104             648.17          146.48          794.65
1900-1904    105-109              35.29            2.70           37.99
1900-1904    110+                  0.00            0.00            0.00
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69            87562.36        80452.74       168015.10
1905-1909     70-74            84059.74        70003.22       154062.96
1905-1909     75-79            73512.60        53822.50       127335.10
1905-1909     80-84            56360.34        33930.10        90290.45
1905-1909     85-89            36871.77        17723.38        54595.15
1905-1909     90-94            17911.91         6542.33        24454.24
1905-1909     95-99             5654.88         1536.38         7191.26
1905-1909    100-104             923.83          193.51         1117.34
1905-1909    105-109              45.86            2.43           48.29
1905-1909    110+                  0.00            0.00            0.00
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64           106257.41       101744.28       208001.69
1910-1914     65-69           107462.64        96387.89       203850.53
1910-1914     70-74           103112.22        83203.56       186315.78
1910-1914     75-79            90113.27        64554.85       154668.12
1910-1914     80-84            70602.18        41534.45       112136.63
1910-1914     85-89            47450.92        22233.68        69684.60
1910-1914     90-94            24273.77         8822.85        33096.62
1910-1914     95-99             7636.40         2145.36         9781.75
1910-1914    100-104            1175.55          251.81         1427.36
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59           109313.10       105905.91       215219.00
1915-1919     60-64           112907.43       103153.06       216060.49
1915-1919     65-69           111228.09        97067.57       208295.65
1915-1919     70-74           106293.56        85998.46       192292.01
1915-1919     75-79            93345.83        67841.70       161187.53
1915-1919     80-84            74198.83        44681.68       118880.51
1915-1919     85-89            51789.33        25862.34        77651.66
1915-1919     90-94            27312.78        10841.13        38153.91
1915-1919     95-99             8837.26         2683.81        11521.07
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54           132527.77       140598.34       273126.11
1920-1924     55-59           137284.13       140914.72       278198.85
1920-1924     60-64           139580.06       136861.92       276441.98
1920-1924     65-69           137691.10       128897.04       266588.13
1920-1924     70-74           129066.57       111929.39       240995.96
1920-1924     75-79           117020.85        92290.31       209311.16
1920-1924     80-84            95285.16        63694.20       158979.36
1920-1924     85-89            68204.06        38516.92       106720.98
1920-1924     90-94            37200.92        17139.75        54340.67
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49           143762.74       158250.49       302013.23
1925-1929     50-54           148507.23       161506.37       310013.60
1925-1929     55-59           149276.45       158948.70       308225.15
1925-1929     60-64           152050.10       155076.63       307126.73
1925-1929     65-69           148731.30       143839.74       292571.04
1925-1929     70-74           140791.55       129318.99       270110.53
1925-1929     75-79           127882.58       109614.45       237497.03
1925-1929     80-84           106553.84        80170.49       186724.33
1925-1929     85-89            78410.90        51607.69       130018.59
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44           142670.92       157671.81       300342.73
1930-1934     45-49           151462.22       164637.60       316099.82
1930-1934     50-54           154391.45       165231.72       319623.17
1930-1934     55-59           156698.30       164003.92       320702.21
1930-1934     60-64           157362.12       158786.91       316149.03
1930-1934     65-69           154000.67       150654.25       304654.92
1930-1934     70-74           146180.99       137981.27       284162.26
1930-1934     75-79           135374.58       116984.96       252359.54
1930-1934     80-84           114482.75        91211.96       205694.72
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39           164714.01       177900.27       342614.28
1935-1939     40-44           174660.93       187991.70       362652.62
1935-1939     45-49           178412.29       191658.52       370070.81
1935-1939     50-54           182809.71       195100.39       377910.10
1935-1939     55-59           181971.81       190584.83       372556.63
1935-1939     60-64           182775.61       188149.82       370925.43
1935-1939     65-69           179399.90       179692.49       359092.39
1935-1939     70-74           169994.04       163236.66       333230.70
1935-1939     75-79           156442.29       140526.37       296968.66
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
