WA, Death rates (cohort 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79            0.051633        0.090259        0.067431
1895-1899     80-84            0.076857        0.119654        0.091966
1895-1899     85-89            0.117916        0.180952        0.136721
1895-1899     90-94            0.192501        0.252218        0.206470
1895-1899     95-99            0.299599        0.353591        0.309237
1895-1899    100-104           0.485664        0.626224        0.505502
1895-1899    105-109           0.881879        1.500000        0.907336
1895-1899    110+                    .              .              .
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74            0.028692        0.058011        0.042483
1900-1904     75-79            0.044412        0.080842        0.060154
1900-1904     80-84            0.070938        0.116205        0.088180
1900-1904     85-89            0.113990        0.163102        0.130007
1900-1904     90-94            0.192667        0.249398        0.208144
1900-1904     95-99            0.300894        0.356903        0.313121
1900-1904    100-104           0.432726        0.488110        0.442935
1900-1904    105-109           0.799301        1.381481        0.840674
1900-1904    110+                    .              .              .
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69            0.017280        0.037604        0.027012
1905-1909     70-74            0.024728        0.049469        0.035970
1905-1909     75-79            0.039440        0.074132        0.054104
1905-1909     80-84            0.065234        0.103978        0.079793
1905-1909     85-89            0.110408        0.162098        0.127188
1905-1909     90-94            0.180708        0.237981        0.196030
1905-1909     95-99            0.287078        0.346736        0.299824
1905-1909    100-104           0.461804        0.540386        0.475413
1905-1909    105-109           0.795086        1.594521        0.835370
1905-1909    110+                    .              .              .
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64            0.010702        0.022050        0.016253
1910-1914     65-69            0.014829        0.031308        0.022621
1910-1914     70-74            0.022814        0.043831        0.032200
1910-1914     75-79            0.036061        0.064669        0.048001
1910-1914     80-84            0.060024        0.101096        0.075237
1910-1914     85-89            0.102899        0.152523        0.118732
1910-1914     90-94            0.172331        0.226160        0.186681
1910-1914     95-99            0.297055        0.328812        0.304020
1910-1914    100-104           0.467695        0.565235        0.484902
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59            0.006817        0.013944        0.010324
1915-1919     60-64            0.009406        0.019571        0.014259
1915-1919     65-69            0.013271        0.026625        0.019494
1915-1919     70-74            0.020572        0.038631        0.028648
1915-1919     75-79            0.032911        0.057780        0.043378
1915-1919     80-84            0.055218        0.088127        0.067587
1915-1919     85-89            0.093358        0.135627        0.107436
1915-1919     90-94            0.169840        0.220148        0.184134
1915-1919     95-99            0.287059        0.345259        0.300616
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54            0.004612        0.008314        0.006518
1920-1924     55-59            0.005840        0.011608        0.008762
1920-1924     60-64            0.008253        0.016442        0.012307
1920-1924     65-69            0.012579        0.024418        0.018303
1920-1924     70-74            0.019781        0.035411        0.027040
1920-1924     75-79            0.028899        0.050663        0.038495
1920-1924     80-84            0.049746        0.079385        0.061620
1920-1924     85-89            0.088024        0.124468        0.101177
1920-1924     90-94            0.161107        0.210178        0.176585
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49            0.002986        0.005283        0.004189
1925-1929     50-54            0.004059        0.007204        0.005698
1925-1929     55-59            0.005323        0.010231        0.007854
1925-1929     60-64            0.007661        0.014790        0.011261
1925-1929     65-69            0.011072        0.021648        0.016271
1925-1929     70-74            0.016921        0.029645        0.023013
1925-1929     75-79            0.025165        0.041534        0.032720
1925-1929     80-84            0.044437        0.069365        0.055140
1925-1929     85-89            0.081870        0.110314        0.093160
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44            0.001764        0.002908        0.002365
1930-1934     45-49            0.002504        0.004483        0.003534
1930-1934     50-54            0.003256        0.006078        0.004715
1930-1934     55-59            0.004995        0.008601        0.006839
1930-1934     60-64            0.006757        0.012817        0.009801
1930-1934     65-69            0.009360        0.017466        0.013368
1930-1934     70-74            0.013718        0.024050        0.018735
1930-1934     75-79            0.022108        0.037910        0.029433
1930-1934     80-84            0.039973        0.058901        0.048366
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39            0.001152        0.002098        0.001643
1935-1939     40-44            0.001552        0.002520        0.002054
1935-1939     45-49            0.002073        0.003290        0.002703
1935-1939     50-54            0.002867        0.005169        0.004056
1935-1939     55-59            0.004127        0.007151        0.005674
1935-1939     60-64            0.005574        0.009923        0.007780
1935-1939     65-69            0.007945        0.014083        0.011016
1935-1939     70-74            0.012397        0.020544        0.016388
1935-1939     75-79            0.020026        0.033069        0.026198
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
